真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE
[3487.497 3370.652 3309.259 3262.05  3129.85  3154.125 3184.958 3199.158],3449.403,3440.2415,3439.7908,3441.307,3439.3767,3435.6655,3435.3286,3433.05,43491.016,0.05823028
[3370.652 3309.259 3262.05  3129.85  3154.125 3184.958 3199.158 3268.558],3473.4263,3462.7485,3464.2324,3462.6367,3458.5425,3450.1062,3445.9714,3435.94,54706.668,0.069162875
[3309.259 3262.05  3129.85  3154.125 3184.958 3199.158 3268.558 3289.024],3389.5579,3399.6265,3411.8489,3400.3801,3402.8433,3409.7285,3398.4946,3399.4258,35803.26,0.05527063
[3262.05  3129.85  3154.125 3184.958 3199.158 3268.558 3289.024 3329.573],3334.879,3340.5854,3331.0007,3321.7705,3321.539,3313.2239,3307.6387,3308.792,14683.33,0.03156385
[3129.85  3154.125 3184.958 3199.158 3268.558 3289.024 3329.573 3292.067],3270.3523,3263.5188,3255.2407,3248.6575,3226.899,3222.5693,3224.556,3219.715,7689.1006,0.025447782
[3154.125 3184.958 3199.158 3268.558 3289.024 3329.573 3292.067 3259.408],3133.2441,3149.0466,3147.8103,3128.123,3126.7874,3131.4282,3137.4436,3130.1592,16284.986,0.03404638
[3184.958 3199.158 3268.558 3289.024 3329.573 3292.067 3259.408 3273.754],3172.6277,3186.276,3156.5935,3176.1016,3183.4607,3178.2766,3187.2722,3181.5657,9200.598,0.025653226
[3199.158 3268.558 3289.024 3329.573 3292.067 3259.408 3273.754 3254.528],3184.5671,3172.5483,3159.198,3166.868,3164.1477,3158.7302,3158.3923,3149.4949,12949.759,0.032441266
[3268.558 3289.024 3329.573 3292.067 3259.408 3273.754 3254.528 3256.926],3179.7427,3171.0017,3159.374,3148.973,3155.6384,3144.0579,3136.4785,3122.1294,16369.502,0.03834424
[3289.024 3329.573 3292.067 3259.408 3273.754 3254.528 3256.926 3289.641],3260.3662,3263.3696,3252.192,3258.4153,3259.7756,3239.6045,3222.481,3207.8271,1886.6555,0.010664374
[3329.573 3292.067 3259.408 3273.754 3254.528 3256.926 3289.641 3271.668],3279.3909,3270.6255,3273.7666,3266.1084,3246.6575,3228.8445,3204.2285,3203.623,2002.3185,0.010766022
[3292.067 3259.408 3273.754 3254.528 3256.926 3289.641 3271.668 3288.405],3331.7957,3337.777,3356.3354,3343.6936,3345.5422,3322.5054,3310.8577,3305.7363,4157.425,0.017897803
[3259.408 3273.754 3254.528 3256.926 3289.641 3271.668 3288.405 3307.165],3291.249,3289.484,3283.6821,3256.7705,3230.42,3211.1924,3202.6177,3192.9531,3709.9434,0.015086135
[3273.754 3254.528 3256.926 3289.641 3271.668 3288.405 3307.165 3326.699],3258.1587,3263.879,3257.7712,3240.8694,3233.359,3223.7004,3220.5076,3242.5422,2869.5234,0.013201063
[3254.528 3256.926 3289.641 3271.668 3288.405 3307.165 3326.699 3310.238],3257.7646,3276.1511,3296.8132,3289.6167,3299.8416,3302.0781,3320.1243,3350.717,324.01544,0.00422305
[3256.926 3289.641 3271.668 3288.405 3307.165 3326.699 3310.238 3291.381],3248.4106,3255.3635,3285.2566,3278.4624,3276.98,3310.616,3326.0312,3328.5,541.0013,0.006277711
[3289.641 3271.668 3288.405 3307.165 3326.699 3310.238 3291.381 3291.112],3245.8257,3235.1116,3225.6604,3193.0754,3201.1067,3208.5217,3196.4092,3191.5369,8158,0.025707781
[3271.668 3288.405 3307.165 3326.699 3310.238 3291.381 3291.112 3269.882],3304.5398,3300.6228,3283.159,3289.1462,3307.4844,3281.624,3276.3762,3270.2378,442.04834,0.00508656
[3288.405 3307.165 3326.699 3310.238 3291.381 3291.112 3269.882 3279.251],3236.6787,3220.0286,3211.7812,3199.6387,3180.6125,3175.7244,3166.548,3163.4575,10672.089,0.030707538
[3307.165 3326.699 3310.238 3291.381 3291.112 3269.882 3279.251 3290.639],3264.511,3258.4995,3257.3108,3246.0725,3238.6453,3223.9973,3220.6248,3209.2058,3281.4072,0.016969029
[3326.699 3310.238 3291.381 3291.112 3269.882 3279.251 3290.639 3280.952],3300.922,3306.5178,3310.1448,3314.4458,3307.9924,3298.0562,3296.0156,3287.7642,432.02182,0.005345364
[3310.238 3291.381 3291.112 3269.882 3279.251 3290.639 3280.952 3263.48 ],3322.53,3326.0808,3328.181,3321.3752,3315.651,3309.153,3301.0166,3300.124,1099.2393,0.009417171
[3291.381 3291.112 3269.882 3279.251 3290.639 3280.952 3263.48  3152.76 ],3313.4067,3317.0032,3311.341,3305.846,3302.4102,3301.9172,3297.6836,3293.791,3152.4194,0.012566061
[3291.112 3269.882 3279.251 3290.639 3280.952 3263.48  3152.76  3133.721],3287.9495,3274.6333,3250.2314,3240.2395,3230.9785,3214.426,3211.9412,3217.7273,2359.7393,0.012802551
[3269.882 3279.251 3290.639 3280.952 3263.48  3152.76  3133.721 3166.648],3274.2278,3261.89,3240.6643,3230.485,3226.3103,3211.7808,3209.8413,3218.3835,2337.5708,0.013491275
[3279.251 3290.639 3280.952 3263.48  3152.76  3133.721 3166.648 3122.289],3250.3582,3232.0535,3220.7715,3214.7488,3208.1282,3203.5776,3205.192,3201.6274,3248.6584,0.017165627
[3290.639 3280.952 3263.48  3152.76  3133.721 3166.648 3122.289 3160.53 ],3278.1775,3271.7847,3271.8777,3276.2449,3273.3892,3279.0925,3277.5364,3278.6316,10719.883,0.026936231
[3280.952 3263.48  3152.76  3133.721 3166.648 3122.289 3160.53  3168.896],3298.9224,3303.7307,3312.351,3316.608,3326.5776,3324.4375,3328.477,3331.2766,22734.396,0.043302536
