真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE,date
3487.497,3427.7872,3462.1786,3476.6740999999997,3486.5931,3472.4181,3482.6771,3496.0999,3493.7995,62414.0098998874,7.088855933447193,2018/2/5
3370.652,3533.7337999999995,3536.0513,3522.4084,3516.7702000000004,3529.3844000000004,3522.6911,3515.7667,3515.1318999999994,88930.89745624998,8.997138437586202,2018/2/6
3309.259,3383.8779000000004,3370.2882,3378.5244000000007,3387.2876,3387.5371,3391.0251000000003,3383.1935,3394.5579999999995,29452.15528325503,4.99804053658404,2018/2/7
3262.05,3304.7121,3303.455299999999,3273.5724000000005,3251.7684,3254.6358,3256.2082,3239.4996,3251.0422000000003,7817.527809537458,2.339450673809892,2018/2/8
3129.85,3240.5420000000004,3184.2545999999998,3199.9518,3178.4124,3126.0191,3134.0117,3157.1862,3135.5187,14048.304478698738,3.077229040044116,2018/2/9
3154.125,3163.6344,3091.0017,3142.3497,3104.8553,3071.9043,3024.4082,3007.5345,2995.9522,41197.27416640622,5.316019877503818,2018/2/12
3184.958,3127.6274000000003,3115.0133,3072.7581,3067.7449,3043.8851000000004,2993.1673,2994.3161000000005,2979.5372,53183.12711070241,6.4910556381857765,2018/2/13
3199.158,3183.713,3260.5070000000005,3273.1163000000006,3241.531,3263.3033,3271.313,3249.5532,3247.1493,1239.6273382887434,0.7577423853151583,2018/2/14
3268.558,3028.4272000000005,2925.5958,2934.5421,2876.1664000000005,2863.1862,2834.011,2835.3033000000005,2829.3453,153463.2254557336,11.81155017841298,2018/2/22
3289.024,3213.0135999999998,3237.3359,3260.5855999999994,3246.888,3221.7416000000003,3259.5435,3226.5799999999995,3261.8183,2482.314976978761,1.2427564916559857,2018/2/23
3329.573,3260.3731999999995,3234.6784,3244.8098,3230.8365,3253.2631,3222.935,3237.7898,3228.4696,1981.0899670625176,1.1949383511503937,2018/2/26
3292.067,3373.174,3440.0430000000006,3429.2921,3461.6252,3463.7937999999995,3475.1873,3494.8857000000003,3486.3297,34063.84300716999,5.494206197410025,2018/2/27
3259.408,3230.3921,3263.9737,3241.3076,3207.1768,3261.6632999999997,3255.5858,3236.4133,3221.776,1827.8932052150117,1.0784641314561487,2018/2/28
3273.754,3231.7410000000004,3251.5199999999995,3223.5838,3200.9478000000004,3200.6149,3164.6215,3153.4782,3157.2204999999994,10433.227326053771,2.5966516353813773,2018/3/1
3254.528,3243.0600000000004,3230.5455999999995,3205.321999999999,3121.4315,3134.7894,3074.1360999999997,3065.885,3047.9554,30653.0582348426,4.4748221490341376,2018/3/2
3256.926,3223.5400000000004,3266.7812,3234.1338,3240.3637000000003,3245.7792,3228.967900000001,3251.9920999999995,3258.9837,2889.4665487899942,1.483245084663035,2018/3/5
3289.641,3203.545800000001,3226.2614000000003,3278.1049,3283.7644,3260.7449,3265.4349,3274.0603,3274.2181000000005,2133.8118136362245,1.1751792844826476,2018/3/6
3271.668,3292.6286,3244.059,3238.5226,3262.3602,3265.1195,3261.6404,3262.6740999999997,3274.6723,1876.1272740837476,1.1594968244923105,2018/3/7
3288.405,3213.4313999999995,3223.089,3246.9381000000003,3246.9769999999994,3240.1516,3229.8463,3244.2283,3243.2387,3923.313157325023,1.803949909087592,2018/3/8
3307.165,3290.4057999999995,3295.571,3293.0396,3280.7002999999995,3281.2762,3270.5143,3257.9406,3256.7220000000007,420.1655357225018,0.5356596792952193,2018/3/9
3326.699,3305.062499999999,3291.8139999999994,3283.1289,3275.289599999999,3276.8069,3251.0159,3228.5847000000003,3256.9904,799.51211743626,0.703419269329417,2018/3/12
3310.238,3330.914,3306.512,3303.2806000000005,3292.9596,3278.6738000000005,3253.4508,3250.415299999999,3265.4885000000004,457.1142603675066,0.5374776646784275,2018/3/13
3291.381,3337.851,3341.04,3344.6140000000005,3343.5163999999995,3346.7301,3362.6705,3373.7045,3374.1407,10668.769877419963,2.7210911332287138,2018/3/14
3291.112,3285.91,3270.5084,3243.6032000000005,3240.6409,3245.0797999999995,3228.1350999999995,3231.8092,3229.3128,2715.084220767503,1.31472636630837,2018/3/15
3269.882,3285.7128,3272.8734,3261.3992,3235.3808000000004,3236.1684,3225.2511,3230.817,3230.0875,2834.509329237497,1.399265826328772,2018/3/16
3279.251,3280.510000000001,3246.906,3230.1745,3231.9094000000005,3237.2298,3237.9437,3228.3715,3226.4166,4767.385437743726,1.896458824603699,2018/3/19
3290.639,3245.9984000000004,3236.915,3239.4578,3232.2656,3239.7027000000003,3238.0904,3240.2283,3241.1617,5947.191730448732,2.240409108828277,2018/3/20
3280.952,3275.8779,3271.577,3275.5348000000004,3247.2991,3229.884,3226.2877,3233.4737,3235.8050000000003,6584.632895354997,2.208565138542616,2018/3/21
3263.48,3268.11,3289.471,3291.524999999999,3271.7246,3251.7812,3242.8092000000006,3241.5241999999994,3223.4742,10887.87398703992,2.972594881420681,2018/3/22
3152.76,3243.535,3223.8300000000004,3245.307,3222.8362,3241.8370000000004,3222.127,3233.8616,3231.599599999999,7014.470360394968,2.621693593545359,2018/3/23
3133.721,3154.9379,3123.7824,3163.6416,3126.7373,3145.8436,3149.4572,3142.9955,3139.5668000000005,746.4104387387563,0.7573138111360687,2018/3/26
3166.648,3143.5744000000004,3135.0415000000003,3130.7132,3128.9867,3143.4715,3152.3482,3145.1541,3139.3612,501.3142297600047,0.6183108044866514,2018/3/27
3122.289,3139.165,3135.4918000000007,3141.7997,3135.3866,3130.4222,3128.1351000000004,3126.2978,3116.186,1013.2063590224976,0.7581785673794762,2018/3/28
3160.53,3165.412,3170.528,3177.6140000000005,3175.8107000000005,3171.934,3177.5686,3176.8412,3174.6357000000003,784.8927418475088,0.7414608188645362,2018/3/29
3168.896,3138.9,3113.374799999999,3125.1050000000005,3113.9643000000005,3103.1213999999995,3098.6677,3082.6871,3084.6612,4785.97003417876,1.7926734948315748,2018/3/30
3163.179,3158.59,3114.946,3113.0363,3124.2517999999995,3108.8668,3124.3646,3112.6261000000004,3106.443,2748.340211592491,1.3515946110395465,2018/4/2
3136.633,3105.302,3139.96,3112.7039999999997,3143.559,3155.5663,3145.7439,3140.103,3141.1784,1141.8389808824984,0.9828784875400388,2018/4/3
3131.111,3112.94,3126.09,3113.3200000000006,3099.6336,3060.2175999999995,3034.443600000001,3021.0573,3010.7777,7405.823422732481,2.398244019369393,2018/4/4
3138.293,3158.8184,3145.3604,3150.2803000000004,3145.5713,3131.4473000000003,3130.4671,3118.6046,3112.8834,1410.059746114997,1.1059904522106356,2018/4/9
3190.321,3137.8201,3143.7826000000005,3151.3738000000003,3146.3828000000003,3138.8091,3134.9839999999995,3141.5362,3134.0464,2014.2574717824764,1.2801771553963086,2018/4/10
3208.081,3192.3821,3232.6557000000003,3236.8683,3239.0671,3245.1816,3240.9531999999995,3233.6246,3244.8035,15408.846284451209,3.594521726050211,2018/4/11
3180.158,3217.4172000000003,3212.7078000000006,3197.0812,3223.563,3245.1962,3246.8414999999995,3250.2327,3244.7867999999994,17488.58517556742,3.933502894413144,2018/4/12
3159.052,3193.6489,3246.2984,3258.5722,3271.989,3267.9539000000004,3249.8609000000006,3229.4173,3238.929,22701.58020186504,4.620423817771194,2018/4/13
3110.648,3128.8428000000004,3158.459999999999,3137.3399999999992,3143.9648000000007,3145.1173,3139.9321000000004,3136.2229,3136.2302000000004,2815.4190444037345,1.4338981394368389,2018/4/16
3066.796,3113.2418,3102.5378,3107.7194,3070.9823,3078.4163,3089.4653000000003,3098.1249,3083.0906,562.4082800849989,0.5877279055591589,2018/4/17
3091.398,3059.9524,3050.1289,3037.7791,3039.4175,3038.3244000000004,3038.4379,3023.0914,2998.0639,3973.119901946267,1.883983895379712,2018/4/18
3117.376,3070.5430000000006,3063.5751999999998,3066.969,3117.5462,3134.6690000000003,3133.6706000000004,3137.6572,3129.9142,1444.0331179399957,0.997738835719284,2018/4/19
3071.542,3132.9992,3129.2076,3136.4602,3138.7415,3139.0433,3131.7864,3142.0247,3143.9091,2514.9060797799825,1.494376550747391,2018/4/20
3068.012,3070.3139999999994,3116.9445,3116.4314,3122.5151,3121.4321,3114.0778,3099.5632,3095.0464999999995,630.3830417449907,0.5703612804461621,2018/4/23
3128.927,3073.6539999999995,3112.4718,3116.8233,3115.4785,3125.8231,3128.1974,3134.0938,3131.4488,1319.9229436037526,1.0337670839054167,2018/4/24
3117.973,3154.5473999999995,3169.4558,3159.5166,3133.4621,3140.4228000000003,3150.4121,3120.9252,3117.7743,3276.3400218687284,1.6911466988519264,2018/4/25
3075.03,3139.6140000000005,3138.315,3148.5489,3151.9222,3153.0801999999994,3138.1316,3146.1813,3143.6053999999995,2348.913347562489,1.3480566951530817,2018/4/26
3082.231,3095.510400000001,3110.5522000000005,3126.9264,3126.424,3129.5793,3138.9736,3139.9502,3141.4437,623.0104821925041,0.7442286585077003,2018/4/27
3081.177,3117.17,3136.712,3140.7452,3148.6034,3157.9821,3159.7399,3147.9053,3141.537,797.8327708887431,0.7457068128741944,2018/5/2
3100.858,3128.17,3157.4300000000003,3162.0585,3164.5152,3173.3956000000003,3176.5643,3181.2308000000003,3180.1708000000003,797.2011889275072,0.6518384607019233,2018/5/3
3091.033,3133.1974,3126.1785999999997,3170.1228,3179.6377,3181.6302,3190.9423,3194.2213999999994,3194.2606,451.4950210374989,0.5530885664126174,2018/5/4
3136.644,3070.61,3070.966700000001,3045.8574,3021.8260999999998,3019.6871,3019.2334,3016.6183999999994,3017.6816000000003,18389.902110768773,4.133426640246462,2018/5/7
3161.497,3140.0600000000004,3156.6496,3145.1169,3139.1002,3150.4306000000006,3137.6137,3132.7274,3132.4922,908.4237144074996,0.8434991553221058,2018/5/8
3159.15,3163.53,3172.6124000000004,3174.771,3179.6744,3187.2146,3194.1197,3190.2064,3201.6935,271.8291663974978,0.3833598677011707,2018/5/9
3174.412,3136.5216,3174.9793,3187.3718000000003,3192.0682,3185.135,3214.3023000000003,3233.8228,3242.4295,1006.8727320387528,0.817296690639978,2018/5/10
3163.263,3172.692,3188.510800000001,3194.8389999999995,3182.602,3192.8712000000005,3200.138100000001,3212.6005,3220.2776000000003,256.0548134125078,0.3639058841518389,2018/5/11
3174.032,3156.8938000000003,3158.5100000000007,3139.5904,3140.3704,3139.879,3134.8932,3130.3285,3131.2294,2510.661285826247,1.364209044013601,2018/5/14
3192.118,3179.32,3181.953,3194.1129,3192.5043,3187.3261999999995,3194.7563999999998,3196.8158000000003,3195.4688,679.1423282975047,0.710859622243751,2018/5/15
3169.565,3189.704,3201.6815,3211.4341,3210.5991000000004,3212.2284,3205.1457,3222.5492000000004,3216.7346,1825.671517464999,1.0710098246669983,2018/5/16
3154.282,3185.3080000000004,3191.3029999999994,3171.1095,3183.358,3176.291200000001,3182.4085,3176.918,3181.3666,998.4831239375052,0.8826524609055629,2018/5/17
3193.303,3162.7375999999995,3143.2743,3136.1855,3129.7357,3117.2010999999998,3123.2982,3131.9378,3121.9386000000004,1912.602391580022,1.091298679907503,2018/5/18
3213.84,3243.6422999999995,3288.8937,3284.7651,3293.5156,3286.465200000001,3289.1624,3292.4659999999994,3287.1024,21735.759728163728,4.30345751506938,2018/5/21
3214.349,3215.5100000000007,3211.6878,3207.1184000000003,3232.3714,3240.8712,3237.1526000000003,3243.8976,3243.4729,12571.676334641244,3.062281760631668,2018/5/22
3168.964,3215.235399999999,3211.543,3202.17,3206.322,3206.6548999999995,3208.947,3216.1557000000003,3218.7235,10603.291632438704,3.0388978413915573,2018/5/23
3154.65,3176.41,3175.94,3176.38,3176.675,3181.113700000001,3186.243200000001,3192.1675,3195.2361,7350.966612498766,2.4509233047782297,2018/5/24
3141.303,3172.338,3184.5852000000004,3167.5125,3182.8568,3191.1385,3190.0798000000004,3190.8776000000003,3198.1453,8121.608167733753,2.684126198115904,2018/5/25
3135.082,3148.1210000000005,3104.066,3109.2825,3118.2332,3127.155,3113.5823,3108.2282000000005,3113.5665,1100.577020633744,0.8208410125498656,2018/5/28
3120.46,3119.727999999999,3143.0670000000005,3139.2630000000004,3143.5355000000004,3136.5812,3138.302,3136.6413999999995,3131.1308,2561.686034311264,1.328808545825021,2018/5/29
3041.443,3154.9281,3148.03,3148.161,3145.1534,3142.0162,3143.2213,3139.6919,3134.3658000000005,3859.434413543738,1.813165218581435,2018/5/30
3095.473,3018.582,3016.5549,3022.3572000000004,2997.8136,3001.582,2995.2602,2991.7494,2987.3222,7944.211955806243,2.784517952082672,2018/5/31
3075.137,3085.6468,3091.5524000000005,3060.9602000000004,3047.8008,3040.452,3033.6302,3033.6243,3035.9767,1957.9879504874948,1.1987445913758954,2018/6/1
3091.19,3089.8620000000005,3104.7069999999994,3137.2754,3125.393000000001,3166.1232000000005,3168.1560999999992,3168.5622,3171.6074000000003,5832.080184951263,1.9313487686855209,2018/6/4
3114.205,3164.226,3180.139,3163.057,3178.808,3181.0580000000004,3201.9865,3207.2318,3204.9386000000004,13009.800057131297,3.45842703593006,2018/6/5
3115.18,3128.33,3147.2660000000005,3159.1188,3155.0847000000003,3146.2862,3142.373700000001,3142.3113000000003,3131.8628,6905.049734698789,2.505483508373897,2018/6/6
3109.498,3102.8583,3139.4103,3143.7859000000003,3156.409000000001,3166.4916,3160.5287,3143.21,3151.9353,15110.446636216264,3.5120584945289246,2018/6/7
3067.147,3123.61,3139.6346,3143.04,3141.0421,3151.7207000000003,3158.5730000000003,3155.825,3156.6348000000007,21605.681222137533,4.322284936971337,2018/6/8
3052.783,3056.1310000000003,3027.1890000000003,3022.9,3006.244,2972.4261,2962.6704,2954.9928000000004,2955.3187,2282.4335982624957,1.4475125477240178,2018/6/11
3079.801,3043.3032,3001.0438,3002.8929000000003,3005.2753999999995,2999.7143000000005,2989.9034999999994,2985.5973,2977.7744,4929.236840479978,2.157095329305691,2018/6/12
3049.796,3039.5914,3050.1192,3050.8627,3032.347,3034.8914,3019.451,3016.4924000000005,3009.4666,11239.686852471265,3.061123736946888,2018/6/13
3044.159,3058.46,3026.9200000000005,3032.9550000000004,3019.4344,2954.9048000000003,2968.2806,2960.6780000000003,2967.5064,8057.852428765002,2.728977088424373,2018/6/14
