真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE
3487.497,3438.5951,3451.21005,3458.23245,3463.95005,3455.8974,3459.1713,3465.71425,3463.42475,52482.35668729906,6.4559425024856
3370.652,3503.58005,3499.3999,3493.3204,3489.70345,3493.96345,3486.39865,3480.86905,3475.53595,70670.19459647562,7.9567136236753
3309.259,3386.7179,3384.95735,3395.18665,3393.83385,3395.1902,3400.3768,3390.84405,3396.9919,32533.437165008832,5.2625523485546
3262.05,3319.79555,3322.02035,3302.28655,3286.76945,3288.0874,3284.71605,3273.56915,3279.9171,10431.936221365622,2.6299428616239
3129.85,3255.44715,3223.8867,3227.59625,3213.53495,3176.45905,3178.2905,3190.8711,3177.61685,9468.404305170287,2.7299450954169
3154.125,3148.43925,3120.02415,3145.08,3116.48915,3099.34585,3077.9182,3072.48905,3063.0557,27046.842330645264,4.3226430232968
3184.958,3150.12755,3150.64465,3114.6758,3121.92325,3113.6729,3085.72195,3090.79415,3080.55145,26264.76076008307,4.5281892099266
3199.158,3184.14005,3216.52765,3216.15715,3204.1995,3213.7255,3215.0216,3203.97275,3198.3221,5012.10720600998,1.9552784626652
3268.558,3104.08495,3048.29875,3046.95805,3012.5697,3009.4123,2989.03445,2985.8909,2975.73735,67223.25017382271,7.8229871490134
3289.024,3236.6899,3250.35275,3256.3888,3252.65165,3240.7586,3249.574,3224.5305,3234.8227,1937.6301532168627,1.1353335004652
3329.573,3269.88205,3252.65195,3259.2882,3248.47245,3249.9603,3225.88975,3221.00915,3216.0463,1817.9929804390592,1.0807042196856
3292.067,3352.48485,3388.91,3392.81375,3402.6594,3404.668,3398.84635,3402.8717,3396.033,14886.365581119711,3.6419929851401
3259.408,3260.82055,3276.72885,3262.49485,3231.97365,3246.04165,3233.3891,3219.5155,3207.36455,2346.125754444386,1.0941402491911
3273.754,3244.94985,3257.6995,3240.6775,3220.9086,3216.98695,3194.16095,3186.9929,3199.88135,6027.9877738649875,1.9435820059127
3254.528,3250.4123,3253.34835,3251.0676,3205.5241,3217.3155,3188.1071,3193.00465,3199.3362,6911.818786075623,2.0701894535268
3256.926,3235.9753,3261.07235,3259.6952,3259.41305,3261.3796,3269.79195,3289.01165,3293.74185,1003.7284297328036,0.8209140977357
3289.641,3224.68575,3230.6865,3251.88265,3238.4199,3230.9258,3236.9783,3235.23475,3232.8775,4130.19831624841,1.8729780238229
3271.668,3298.5842,3272.3409,3260.8408,3275.7532,3286.30195,3271.6322,3269.52515,3272.45505,894.9381805996815,0.787633438643
3288.405,3225.05505,3221.5588,3229.35965,3223.30785,3210.38205,3202.78535,3205.38815,3203.3481,6582.071449805611,2.4373514300657
3307.165,3277.4584,3277.03525,3275.1752,3263.3864,3259.96075,3247.2558,3239.2827,3232.9639,1471.03689856562,1.1138636960067
3326.699,3302.99225,3299.1659,3296.63685,3294.8677,3292.39965,3274.53605,3262.30015,3272.3773,266.5277312653158,0.4094832745353
3310.238,3326.722,3316.2964,3315.7308,3307.1674,3297.1624,3281.3019,3275.71595,3282.80625,462.2132030993829,0.590625518017
3291.381,3325.62885,3329.0216,3327.9775,3324.6812,3324.57015,3332.29385,3335.69405,3333.96585,6235.847598430299,1.988848639138
3291.112,3286.92975,3272.57085,3246.9173,3240.4402,3238.02915,3221.28055,3221.8752,3223.52005,2506.75671136033,1.2974912383631
3269.882,3279.9703,3267.3817,3251.03175,3232.9329,3231.23935,3218.51595,3220.32915,3224.2355,2537.227321531249,1.3741970375652
3279.251,3265.4341,3239.47975,3225.473,3223.3291,3222.679,3220.76065,3216.78175,3214.022,3861.386651145938,1.8017119326036
3290.639,3262.08795,3254.34985,3255.66775,3254.25525,3256.54595,3258.59145,3258.88235,3259.89665,7994.524325024986,2.4348511584159
