真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE
3487.497,3459.04,3434.581,3429.587,3454.469,3456.319,3429.581,3412.294,3371.211,40017.81557962499,5.490914313086971
3370.652,3501.85,3490.763,3492.892,3507.743,3505.667,3472.725,3470.083,3444.295,69615.40480999996,7.819176140150939
3309.259,3321.471,3336.483,3359.54,3379.583,3395.911,3412.064,3437.098,3445.405,31496.13651287501,5.040881449372925
3262.05,3328.862,3316.694,3376.418,3387.315,3352.96,3352.611,3360.892,3370.118,20908.240680000006,4.025133175385947
3129.85,3210.236,3252.595,3252.931,3274.445,3231.985,3282.947,3271.522,3237.062,4277.086734749998,1.8619833851024152
3154.125,3183.741,3191.133,3114.798,3122.435,3085.335,3141.593,3157.704,3164.036,16669.837760499988,3.3858226378295377
3184.958,3164.035,3162.911,3173.053,3151.85,3155.053,3136.503,3118.702,3102.873,16668.176416499977,3.5482646871798003
3199.158,3191.193,3114.686,3122.983,3141.593,3156.95,3141.531,3154.327,3141.786,18221.410675124967,3.810465979323163
3268.558,3114.687,3137.981,3107.831,3072.333,3095.158,3100.756,3075.677,3095.166,32375.395764374953,5.427514884796823
3289.024,3211.76,3242.926,3282.947,3275.013,3248.478,3280.816,3296.541,3310.303,2141.2900398749925,1.1414412475042455
3329.573,3235.303,3239.96,3282.928,3275.016,3245.201,3203.827,3174.125,3116.351,6566.321108499997,1.9187524130820663
3292.067,3334.964,3350.519,3343.525,3375.117,3379.488,3434.336,3435.264,3445.405,14615.225547125,3.4839020096753606
3259.408,3359.51,3334.602,3379.583,3434.336,3459.64,3473.097,3492.891,3507.743,26544.413869375,4.7284135211811895
3273.754,3248.476,3241.187,3302.408,3286.061,3275.011,3245.201,3248.474,3290.9,1187.7939294999967,0.8692676777355437
3254.528,3248.476,3282.935,3296.537,3306.114,3351.468,3353.38,3376.495,3436.303,3303.9963189999944,1.3584213630574038
3256.926,3246.936,3316.501,3303.677,3272.042,3243.755,3247.674,3305.736,3293.237,1550.3843768750012,0.8855527270722628
3289.641,3246.936,3201.361,3198.817,3151.56,3158.861,3173.018,3154.325,3116.351,16916.29924300001,3.6926573650809895
3271.668,3273.807,3331.522,3369.108,3379.583,3384.317,3364.544,3376.495,3323.018,3681.4397137499996,1.6899182108707438
3288.405,3222.361,3237.024,3246.931,3202.763,3181.679,3129.537,3134.567,3134.852,13062.201140125024,3.319738465607716
3307.165,3303.032,3343.345,3351.764,3352.96,3350.52,3350.727,3351.38,3352.63,3115.1567666249966,1.5139586562170921
3326.699,3300.059,3275.019,3248.476,3282.989,3296.339,3310.303,3338.073,3351.46,1592.8064609999872,1.0952045697776684
3310.238,3322.303,3375.118,3434.336,3459.64,3471.449,3459.043,3473.097,3470.524,26095.694939374967,4.530375706603558
3291.381,3338.073,3358.945,3368.132,3379.583,3362.858,3376.495,3387.315,3390.523,14088.928960124987,3.2483414860450512
3291.112,3319.14,3322.35,3351.46,3365.998,3376.418,3372.603,3370.183,3352.96,16348.958088124982,3.3867718645995337
3269.882,3272.928,3280.037,3331.522,3362.651,3382.911,3388.283,3390.523,3386.125,24026.038778124974,3.763163736706464
3279.251,3273.999,3255.214,3246.936,3246.158,3268.933,3251.261,3246.641,3236.839,6196.506768374988,2.0543450696415944
3290.639,3280.874,3261.74,3250.276,3251.361,3249.813,3277.845,3273.83,3251.371,8427.480777624976,2.419778459007058
3280.952,3283.539,3273.834,3248.476,3251.246,3247.674,3230.976,3240.674,3237.018,6566.165053874986,2.238451790668538
3263.48,3273.825,3250.243,3251.371,3247.673,3230.033,3240.67,3237.098,3246.871,7462.947530374973,2.563313495229589
3152.76,3273.302,3263.33,3248.476,3251.261,3237.029,3246.933,3231.032,3230.977,10013.144415999981,3.088751485662471
3133.721,3154.336,3183.176,3129.531,3134.567,3118.702,3102.876,3134.535,3143.354,966.8573799999963,0.7726834118983031
3166.648,3102.811,3122.531,3134.567,3144.376,3150.333,3143.354,3140.56,3116.353,766.4209575000015,0.6550229866625494
3122.289,3173.203,3114.652,3112.762,3102.875,3131.853,3147.416,3136.774,3145.155,1726.950124249998,1.112169101514126
3160.53,3102.864,3109.567,3134.567,3137.423,3123.166,3144.377,3140.013,3111.274,2458.399579375011,1.208577020217675
3168.896,3154.321,3187.648,3210.371,3223.592,3218.166,3248.351,3240.646,3241.187,3666.6732107500156,1.7295218573751479
3163.179,3172.135,3139.876,3117.675,3132.856,3110.686,3131.052,3147.456,3133.332,1788.3691649999946,0.9660753063238183
3136.633,3171.054,3137.296,3118.74,3136.776,3133.389,3143.357,3140.56,3111.251,1468.4965547500053,0.9608158399658024
3131.111,3118.703,3136.753,3131.905,3116.319,3107.843,3108.732,3133.269,3139.561,3194.6300318750064,1.5129299926943993
3138.293,3114.637,3131.826,3128.561,3102.873,3136.775,3189.746,3216.841,3212.633,7530.232321124987,2.444814218793435
3190.321,3118.703,3109.562,3101.261,3112.843,3103.428,3133.269,3140.561,3124.373,3766.4857852500068,1.6842324481986157
3208.081,3184.03,3170.686,3172.1,3163.963,3159.166,3141.627,3139.876,3126.67,2285.178079875007,1.2909788741254726
3180.158,3234.675,3237.062,3222.416,3231.083,3218.166,3212.544,3246.846,3241.133,16796.176835874994,3.9546703705018107
3159.052,3197.537,3203.827,3205.057,3170.353,3173.416,3136.753,3110.686,3122.983,5595.346868125,2.097214043197787
3110.648,3166.983,3173.052,3154.321,3158.862,3142.683,3140.326,3153.082,3187.648,4484.098501625004,2.0402200991145945
3066.796,3131.853,3133.247,3143.456,3102.876,3103.037,3136.776,3131.843,3147.456,1796.4997259999975,1.19055056948306
3091.398,3086.069,3097.009,3151.56,3187.564,3191.196,3173.201,3188.062,3281.032,10045.550615999979,2.651834923153888
3117.376,3090.221,3147.415,3133.269,3141.593,3153.049,3158.65,3143.952,3135.319,3234.5597424999905,1.6846302416867724
3071.542,3103.037,3131.956,3147.456,3133.395,3141.598,3153.049,3158.65,3173.172,3292.4750198749866,1.6881588390838163
3068.012,3073.097,3086.971,3097.001,3152.263,3176.467,3197.537,3217.925,3212.986,7398.526778499981,2.405681050435726
3128.927,3073.777,3090.941,3087.841,3069.311,3070.309,3045.665,3042.664,3062.987,1879.0742659999949,1.1888861474747068
3117.973,3131.938,3147.754,3133.333,3141.595,3153.049,3157.704,3173.202,3189.74,2631.078457999994,1.5413235296352663
