真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE,date
3487.497,3459.04,3459.024,3473.097,3477.696,3452.569,3455.493,3441.431,3435.234,49805.75008537499,6.28713858882127,2018/2/5
3370.652,3520.668,3531.029,3536.905,3516.06,3549.248,3579.997,3588.687,3570.026,106397.9952245,9.78090872218622,2018/2/6
3309.259,3334.788,3359.521,3375.193,3360.892,3373.945,3459.026,3456.309,3462.595,35215.362406875014,5.403988754484924,2018/2/7
3262.05,3328.862,3316.694,3376.418,3459.026,3455.493,3471.949,3492.893,3507.743,43035.57741500001,6.181937443168692,2018/2/8
3129.85,3210.236,3252.595,3291.599,3281.047,3246.531,3231.366,3282.926,3271.526,5080.483760124997,2.006272238508015,2018/2/9
3154.125,3183.741,3191.133,3114.795,3122.435,3085.335,3141.593,3157.704,3164.036,16669.901031624984,3.3858343596638445,2018/2/12
3184.958,3164.035,3162.911,3136.531,3118.702,3102.873,3108.742,3153.432,3168.014,19450.641893999964,3.733304917488884,2018/2/13
3199.158,3191.193,3114.686,3122.983,3141.593,3156.95,3141.592,3154.327,3141.592,18225.086207499964,3.8109771568636095,2018/2/14
3268.558,3114.687,3137.416,3114.863,3102.875,3091.676,3151.74,3167.795,3162.992,23490.364616749983,4.491856845186017,2018/2/22
3289.024,3211.76,3292.448,3275.012,3248.478,3280.886,3296.541,3316.695,3306.182,1677.5281101249986,1.0205342901108756,2018/2/23
3329.573,3235.303,3239.96,3282.928,3275.016,3245.201,3203.837,3174.125,3116.351,6566.1883735,1.918714033333802,2018/2/26
3292.067,3334.964,3375.118,3379.488,3434.336,3436.398,3438.371,3373.947,3459.026,19080.360436874995,3.9942598455114617,2018/2/27
3259.408,3359.51,3390.281,3372.616,3435.212,3459.64,3473.097,3479.836,3565.934,30301.26885462501,5.0879306552725945,2018/2/28
3273.754,3248.476,3241.187,3302.408,3286.061,3275.011,3245.201,3203.866,3174.125,4840.707303875001,1.4766508534200924,2018/3/1
3254.528,3248.476,3282.938,3296.329,3328.43,3375.118,3387.315,3412.072,3436.303,5138.000632374996,1.794747035456694,2018/3/2
3256.926,3246.936,3316.219,3303.679,3272.041,3321.555,3387.315,3395.914,3425.33,3907.844741750009,1.438230487423957,2018/3/5
3289.641,3246.936,3201.361,3198.817,3151.56,3158.861,3173.018,3154.325,3116.351,16916.29924300001,3.6926573650809895,2018/3/6
3271.668,3273.807,3331.522,3369.108,3379.583,3412.065,3429.581,3434.336,3436.398,10775.746759500007,2.6948083933913374,2018/3/7
3288.405,3222.431,3237.024,3246.908,3202.913,3181.348,3129.537,3103.037,3131.956,14363.050078375025,3.451820426348369,2018/3/8
3307.165,3303.032,3343.345,3351.764,3352.96,3350.52,3350.723,3351.38,3352.63,3115.0759236249987,1.5139433651454266,2018/3/9
3326.699,3300.059,3272.928,3262.6,3246.936,3231.342,3218.163,3237.024,3246.819,1767.2869868750056,1.2319722107886557,2018/3/12
