真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,预测均值,MSE,MAPE
3487.497,3477.924,3492.891,3507.743,3507.739,3491.043,3492.856,3510.354,3522.814,3500.4204999999997,343.92532250000204,0.004391903419558534
3370.652,3520.668,3531.029,3536.905,3516.06,3540.628,3558.449,3560.552,3570.026,3541.7896250000003,29622.585564875004,0.05077285492539722
3309.259,3321.471,3336.483,3359.54,3379.583,3395.911,3412.064,3437.067,3445.402,3385.940124999999,7663.895187374999,0.02317169039957284
3262.05,3328.862,3316.694,3376.418,3459.026,3455.493,3471.949,3492.893,3507.743,3426.1347499999997,31807.589928499936,0.05030111432994583
3129.85,3210.236,3252.595,3252.931,3282.947,3275.013,3248.478,3282.898,3275.024,3260.0152500000004,17469.99344050002,0.04158833490422866
3154.125,3183.741,3191.133,3114.798,3122.435,3085.335,3141.593,3157.704,3173.416,3146.2693750000003,1258.9544493750016,0.009583997146593767
3184.958,3164.035,3162.911,3173.053,3151.85,3155.053,3136.503,3118.702,3102.873,3145.6225,2066.4639547500024,0.012350398341202643
3199.158,3191.196,3114.686,3122.981,3141.593,3156.95,3141.531,3154.327,3141.786,3145.63125,3339.9160149999843,0.016731511854056563
3268.558,3114.686,3137.416,3114.863,3102.875,3091.67,3151.74,3167.795,3162.992,3130.5046249999996,19772.62478187499,0.0422367830095106
3289.024,3211.76,3292.448,3275.012,3248.478,3280.886,3296.541,3316.695,3306.182,3278.50025,1125.5721587499925,0.007438756907824311
3329.573,3235.303,3239.96,3282.928,3275.016,3245.22,3203.827,3174.126,3116.351,3221.5913749999995,14328.052645124955,0.03243107299344385
3292.067,3334.964,3382.916,3390.525,3381.952,3445.405,3459.026,3451.042,3459.046,3413.1095,16551.23392375,0.03676793333793025
3259.408,3359.51,3334.602,3379.583,3434.336,3438.371,3432.479,3436.398,3439.636,3406.8643749999997,23313.162792875028,0.04524023227530892
3273.754,3248.476,3241.187,3302.408,3286.061,3275.011,3245.201,3248.474,3290.9,3267.21475,552.7522889999979,0.006530805307912565
3254.528,3205.986,3179.078,3111.251,3050.52,3107.831,3109.116,3054.823,3073.232,3111.479625,23201.44715637494,0.043953647041905866
3256.926,3246.936,3316.501,3303.679,3272.042,3322.355,3387.315,3395.911,3425.33,3333.7586249999995,9377.787499125014,0.024357361819089554
3289.641,3246.936,3201.36,3198.893,3151.85,3153.432,3140.56,3143.357,3140.532,3172.1150000000002,15156.16874375002,0.035726086828319584
3271.668,3273.807,3248.476,3240.673,3282.947,3296.541,3316.016,3317.062,3305.738,3285.1575,929.6426774999974,0.008263751089658222
3288.405,3210.371,3222.793,3273.963,3282.179,3273.183,3248.476,3241.187,3202.95,3244.3877500000003,2749.963126750017,0.013385592711360117
3307.165,3306.124,3308.43,3317.064,3323.583,3318.974,3329.636,3351.76,3352.96,3326.0663750000003,637.5649003750045,0.005793973085709383
3326.699,3300.059,3272.928,3262.6,3210.373,3237.062,3246.936,3205.986,3207.134,3242.88475,8063.221956250016,0.025194419453037402
3310.238,3322.303,3361.935,3376.418,3382.998,3391.476,3395.916,3424.779,3434.267,3386.2614999999996,6866.889985500028,0.022966173429221762
3291.381,3338.073,3358.945,3368.132,3379.583,3362.858,3376.495,3387.315,3390.523,3370.2405,6475.146101250032,0.02395939576730868
3291.112,3319.14,3322.35,3351.46,3365.998,3376.418,3372.603,3370.183,3352.96,3353.889,4375.808798749994,0.019074707879889817
3269.882,3272.928,3280.329,3338.073,3369.108,3391.352,3394.352,3382.561,3379.583,3351.03575,8699.10471549999,0.024818556143616173
3279.251,3273.999,3255.214,3246.936,3246.158,3268.932,3277.458,3282.179,3281.837,3266.5891249999995,358.715492125006,0.004281579848569125
3290.639,3273.83,3250.231,3251.371,3240.675,3231.348,3244.821,3237.062,3246.933,3247.0338749999996,2043.6434043750087,0.013251263660340771
3280.952,3283.536,3273.83,3248.476,3251.244,3247.674,3230.977,3240.674,3237.014,3251.678125,1144.055852125012,0.009119266298318341
3263.48,3273.83,3261.74,3251.849,3250.276,3228.841,3200.033,3197.537,3170.683,3229.348625,2325.615058125007,0.01125144784095508
3152.76,3273.302,3263.33,3248.476,3251.261,3247.674,3268.92,3250.591,3237.062,3255.077,10599.955385249956,0.03245315215874338
3133.721,3154.655,3183.152,3129.317,3134.567,3118.702,3102.876,3134.535,3143.453,3137.657125,521.765731874999,0.0052663032222715275
3166.648,3102.811,3122.531,3134.567,3144.376,3150.333,3143.354,3140.56,3116.353,3131.8606250000003,1445.708154125007,0.010985551599041039
3122.289,3173.203,3114.652,3112.762,3102.875,3131.853,3147.416,3136.774,3139.873,3132.4260000000004,545.0093494999959,0.0061754373153798175
3160.53,3102.864,3109.567,3134.567,3137.423,3123.166,3144.377,3140.014,3111.274,3125.4065,1454.331680000014,0.011113167728197553
3168.896,3154.321,3187.648,3210.371,3223.592,3218.166,3248.351,3240.646,3241.187,3215.53525,3048.822159499992,0.0158676712646928
3163.179,3172.135,3162.961,3136.531,3114.66,3112.764,3102.875,3136.775,3170.386,3138.635875,1258.9779288750046,0.009036439290979135
3136.633,3130.676,3118.702,3135.112,3133.332,3143.456,3140.56,3111.251,3102.875,3126.9955000000004,277.0049747499944,0.003929372674456933
3131.111,3118.703,3136.753,3131.977,3122.813,3151.56,3166.983,3179.075,3178.611,3148.3093750000003,814.644333625002,0.0071459858816886514
3138.293,3114.637,3131.827,3128.561,3165.813,3179.075,3175.538,3171.187,3140.561,3150.899875,698.8747906249934,0.007191927267466708
3190.321,3118.703,3133.244,3143.453,3137.42,3125.16,3153.41,3158.861,3165.821,3142.009,2572.550814999995,0.015143303761596389
3208.081,3184.03,3170.686,3165.807,3151.56,3155.052,3138.852,3144.377,3132.983,3155.418375,3032.648705625012,0.016415615752844177
3180.158,3221.916,3219.617,3200.234,3231.927,3221.563,3213.843,3260.921,3251.375,3227.6744999999996,2603.4243612500104,0.014941553218425035
3159.052,3197.537,3118.709,3124.324,3144.373,3140.324,3158.871,3164.037,3157.873,3150.756,613.3963637500008,0.0060662185997571415
3110.648,3166.983,3173.052,3162.964,3151.56,3155.052,3138.852,3143.983,3133.184,3153.20375,1983.1151742499949,0.01368067039407864
3066.796,3132.486,3144.377,3118.709,3122.981,3156.993,3157.847,3165.821,3172.136,3146.41875,6689.243886250028,0.025962845262612895
3091.398,3086.069,3097.917,3152.185,3175.585,3117.675,3151.56,3141.552,3146.953,3133.6870000000004,2595.64183174999,0.014110525399835257
3117.376,3090.221,3148.22,3157.951,3155.0,3159.116,3131.956,3135.0,3113.887,3136.418875,878.5281073749911,0.008566138637110143
3071.542,3103.037,3131.956,3147.456,3133.269,3141.593,3153.049,3157.843,3141.592,3138.7243750000002,4765.042887125006,0.02187252363796427
3068.012,3073.097,3086.971,3097.001,3152.263,3175.585,3197.537,3217.925,3212.986,3151.6706249999997,10020.492278374968,0.02726802404944956
3128.927,3073.777,3052.78,3054.294,3043.563,3036.598,3073.276,3070.305,3043.562,3056.019375,5505.2981806250245,0.023301158831765704
3117.973,3155.0,3164.037,3154.295,3187.648,3203.861,3219.381,3212.986,3201.329,3187.3171250000005,5412.851005875002,0.022240130046026704
3075.03,3155.0,3158.794,3165.821,3136.776,3130.676,3144.373,3140.011,3156.95,3148.5501249999998,5538.191064874959,0.023908750483735027
3082.231,3063.305,3066.63,3090.713,3084.807,3068.1,3079.073,3073.233,3070.576,3074.5546249999998,138.32824137500398,0.0033874407855868423
