真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,预测均值,MSE,MAPE,date
3487.497,3473.057,3470.597,3443.76,3456.309,3459.026,3434.581,3445.405,3431.03,3451.720625,1493.8374453749793,0.010258467605850198,2018/2/5
3370.652,3520.668,3531.029,3536.905,3516.06,3540.628,3558.449,3560.552,3570.026,3541.7896250000003,29622.585564875004,0.05077285492539722,2018/2/6
3309.259,3321.471,3336.483,3359.54,3379.583,3395.911,3412.062,3437.067,3445.404,3385.940124999999,7663.911857374998,0.023171690399572835,2018/2/7
3262.05,3328.862,3316.694,3376.418,3459.026,3455.493,3471.944,3492.892,3507.743,3426.1339999999996,31807.269847249914,0.05030088441317569,2018/2/8
3129.85,3210.236,3252.595,3250.237,3218.163,3291.128,3281.047,3263.43,3279.533,3255.796125,16617.525342625016,0.04024030704346855,2018/2/9
3154.125,3183.741,3191.133,3114.795,3122.435,3085.335,3141.593,3157.704,3173.416,3146.2690000000002,1258.9839457499986,0.009584116038520994,2018/2/12
3184.958,3161.67,3116.977,3103.047,3122.811,3117.274,3092.347,3136.531,3117.671,3121.0409999999997,4470.75558875001,0.02006839650632758,2018/2/13
3199.158,3191.193,3114.686,3122.983,3141.593,3156.95,3141.592,3154.327,3141.592,3145.6145000000006,3341.7927994999814,0.016736747606713964,2018/2/14
3268.558,3114.687,3137.981,3107.843,3072.333,3091.67,3132.486,3116.351,3103.037,3109.5485,25678.665679750004,0.04864821122953915,2018/2/22
3289.024,3211.768,3292.448,3275.012,3238.229,3230.979,3278.337,3210.236,3187.568,3240.572125,3592.62304437499,0.014991643417621736,2018/2/23
3329.573,3235.303,3273.309,3231.67,3218.169,3261.931,3281.087,3296.541,3316.694,3264.338,5278.954155749982,0.01959260241478407,2018/2/26
3292.067,3334.964,3387.315,3382.561,3444.295,3470.073,3473.091,3439.448,3413.907,3418.20675,17912.103938249995,0.03831627667359139,2018/2/27
3259.408,3359.51,3334.602,3379.583,3434.336,3436.303,3438.371,3431.224,3459.64,3409.1961249999995,24206.196490375027,0.04595562292293573,2018/2/28
3273.754,3248.476,3241.187,3306.124,3293.902,3371.931,3434.336,3459.64,3473.097,3353.586625,14108.735534375011,0.028802981225834322,2018/3/1
3254.528,3248.476,3282.179,3286.619,3241.13,3251.375,3296.326,3306.674,3348.325,3282.6380000000004,1910.5799910000087,0.010373470438724152,2018/3/2
3256.926,3246.936,3316.545,3303.679,3272.042,3322.355,3387.315,3382.561,3412.062,3330.4368750000003,8400.267351125014,0.02333745838867695,2018/3/5
3289.641,3246.936,3201.361,3198.817,3151.56,3158.861,3173.018,3154.325,3116.351,3175.153625,14497.076680875025,0.034802391811142946,2018/3/6
3271.668,3251.37,3247.673,3200.234,3104.033,3131.956,3124.548,3147.456,3157.872,3170.6427499999995,12966.745789250035,0.030878820833898857,2018/3/7
3288.405,3210.373,3222.561,3273.966,3282.179,3273.183,3248.476,3241.187,3202.95,3244.3593749999995,2753.725503875018,0.013394221514685752,2018/3/8
3307.165,3306.124,3308.43,3317.064,3323.583,3318.974,3329.636,3351.76,3365.513,3327.6355000000003,800.978285250003,0.006268435351728764,2018/3/9
3326.699,3300.059,3275.019,3248.476,3282.989,3296.333,3310.303,3338.073,3354.035,3300.660875,1684.682671625001,0.010736055471204334,2018/3/12
3310.238,3322.303,3375.118,3434.336,3459.64,3471.449,3468.553,3454.469,3473.097,3432.370625,17556.81385262504,0.036895421114735594,2018/3/13
3291.381,3338.073,3358.945,3368.132,3379.583,3372.61,3352.96,3366.986,3376.418,3364.2133750000003,5469.109605125028,0.0221282115318768,2018/3/14
3291.112,3319.14,3322.35,3351.46,3365.998,3376.418,3372.603,3370.183,3352.96,3353.889,4375.808798749994,0.019074707879889817,2018/3/15
3269.882,3272.928,3280.329,3317.174,3322.148,3335.421,3358.498,3365.225,3363.62,3326.9178749999996,4388.9927768749885,0.017442793042684694,2018/3/16
3279.251,3273.999,3243.76,3246.936,3261.286,3287.715,3281.087,3315.918,3322.145,3279.10575,739.196168999998,0.006895019624908249,2018/3/19
3290.639,3273.83,3280.894,3317.171,3320.672,3317.185,3308.437,3324.999,3338.073,3310.157625,804.4360618749909,0.007948950036755748,2018/3/20
3280.952,3283.536,3312.908,3317.17,3323.585,3317.114,3328.439,3336.285,3336.496,3319.441625,1733.3451803749808,0.011731236848329314,2018/3/21
3263.48,3273.825,3250.243,3251.371,3247.673,3230.033,3240.67,3237.062,3246.833,3247.213749999999,411.5946957500016,0.005776808805324383,2018/3/22
3152.76,3273.832,3267.922,3251.261,3246.922,3246.295,3256.602,3241.187,3216.725,3250.09325,9741.557176999948,0.030872394346540724,2018/3/23
3133.721,3154.336,3183.176,3129.531,3134.567,3118.702,3102.876,3134.535,3143.354,3137.634625,519.9360921249952,0.00524205090370198,2018/3/26
3166.648,3102.811,3122.531,3134.567,3144.376,3150.333,3143.354,3140.56,3116.353,3131.8606250000003,1445.708154125007,0.010985551599041039,2018/3/27
3122.289,3173.203,3114.652,3122.819,3134.565,3144.376,3132.876,3141.598,3156.95,3140.129875,621.960347624992,0.006325527521635522,2018/3/28
3160.53,3102.864,3109.561,3134.567,3137.423,3123.166,3144.377,3140.014,3111.274,3125.4057500000004,1454.4081290000122,0.011113405030169051,2018/3/29
3168.896,3154.321,3187.648,3217.918,3222.452,3246.906,3243.687,3240.672,3253.326,3220.86625,3724.367825749984,0.01754996061719915,2018/3/30
3163.179,3172.135,3154.326,3118.702,3131.853,3124.158,3144.376,3140.564,3158.863,3143.122125,690.5455851250018,0.0070485656992538455,2018/4/2
3136.633,3171.054,3137.296,3118.74,3136.774,3131.977,3116.313,3102.855,3133.332,3131.042625,386.48184512499915,0.004589834067294443,2018/4/3
3131.111,3118.703,3136.753,3130.677,3113.885,3102.875,3136.757,3183.179,3191.193,3139.25275,954.0983025000057,0.007255491740791056,2018/4/4
3138.293,3114.637,3131.827,3127.945,3158.86,3179.075,3183.176,3168.01,3171.187,3154.3396249999996,846.7835778749932,0.00833705616397191,2018/4/9
3190.321,3118.703,3133.244,3141.541,3156.95,3168.01,3179.075,3170.913,3179.4,3155.9795000000004,1625.0282294999909,0.01076427732507164,2018/4/10
3208.081,3184.03,3170.686,3172.1,3163.963,3158.861,3141.614,3139.876,3126.052,3157.14775,2929.877033250004,0.015876547381440818,2018/4/11
3180.158,3234.636,3237.064,3222.416,3231.762,3218.166,3212.538,3246.846,3241.133,3230.570125,2664.1461416250104,0.01585208187769291,2018/4/12
3159.052,3197.537,3203.827,3205.057,3173.203,3164.037,3151.56,3154.616,3140.56,3173.799625,780.6523906249942,0.007075738227797433,2018/4/13
3110.648,3166.983,3173.053,3171.174,3156.956,3155.053,3162.992,3132.983,3104.443,3152.954625,2265.612050124992,0.0140992728846208,2018/4/16
3066.796,3131.853,3133.261,3147.75,3118.709,3122.981,3155.0,3164.036,3172.116,3143.21325,6172.89237500003,0.024917617604822816,2018/4/17
3091.398,3086.069,3097.917,3152.185,3175.585,3117.675,3151.56,3141.552,3146.953,3133.6870000000004,2595.64183174999,0.014110525399835257,2018/4/18
3117.376,3090.221,3147.415,3133.249,3141.593,3153.049,3158.65,3143.952,3135.324,3137.931625,810.3339061249922,0.008771599896836263,2018/4/19
3071.542,3103.037,3131.956,3147.456,3133.395,3146.953,3117.675,3123.137,3140.56,3130.521125,3683.8895481250156,0.01920179668713634,2018/4/20
3068.012,3073.097,3086.971,3097.001,3152.263,3176.467,3197.537,3217.925,3212.981,3151.78025,10044.128150999983,0.0273037556567575,2018/4/23
3128.927,3073.777,3052.78,3054.294,3043.563,3036.598,3073.276,3068.329,3080.776,3060.4241250000005,4913.662467625017,0.02189340786793688,2018/4/24
3117.973,3155.053,3163.964,3173.416,3187.64,3191.193,3173.201,3203.827,3210.371,3182.333125,4467.139465375016,0.02064165565256662,2018/4/25
3075.03,3155.0,3158.794,3165.821,3131.872,3147.453,3107.831,3102.126,3133.333,3137.77875,4417.507099499971,0.020405898479039165,2018/4/26
3082.231,3063.305,3066.63,3090.713,3084.807,3068.1,3079.073,3073.233,3050.52,3072.0476249999997,247.0468033750053,0.004200812658103861,2018/4/27
3081.177,3090.941,3157.705,3168.011,3165.813,3154.321,3187.648,3296.612,3288.961,3188.7515,15865.976873749965,0.03491344379112262,2018/5/2
3100.858,3023.373,3026.73,3042.313,3045.431,3030.986,3016.705,3005.172,3050.667,3030.172125,5204.665729125025,0.02279558593137776,2018/5/3
3091.033,3136.75,3130.302,3117.3,3103.037,3122.816,3133.332,3147.416,3157.951,3131.113,1865.3219572500097,0.012966539017862346,2018/5/4
3136.644,3096.434,3154.321,3173.202,3189.74,3194.037,3182.803,3274.453,3283.513,3193.562875,6508.928297625014,0.021351283409912023,2018/5/7
3161.497,3130.676,3124.355,3155.053,3164.038,3178.681,3179.074,3169.554,3173.416,3159.355875,398.582827125001,0.005206592003724852,2018/5/8
3159.15,3159.125,3173.416,3187.649,3191.139,3174.253,3181.326,3169.543,3159.166,3174.4521250000007,358.362349124999,0.004845725907285191,2018/5/9
3174.412,3173.416,3186.02,3170.372,3191.193,3181.327,3173.537,3166.132,3158.793,3175.0987500000006,99.34445650000106,0.002564018155173306,2018/5/10
3163.263,3186.046,3189.74,3173.201,3191.103,3183.943,3169.543,3173.21,3166.983,3179.221125,334.2260088750022,0.005044830290747279,2018/5/11
3174.032,3179.076,3183.176,3171.184,3172.1,3152.861,3164.037,3157.704,3147.41,3165.9435000000003,205.54301675000363,0.003665842058303159,2018/5/14
3192.118,3187.646,3191.193,3181.679,3185.867,3173.201,3169.559,3173.052,3162.961,3178.14475,281.1633132499972,0.004377422764446626,2018/5/15
3169.565,3183.827,3187.895,3207.134,3212.444,3202.075,3209.06,3223.599,3231.686,3207.215,1648.1098584999986,0.011878601637764165,2018/5/16
3154.282,3177.973,3184.72,3171.188,3163.967,3159.117,3162.908,3173.159,3179.076,3171.5135,367.0270064999943,0.005462891396520625,2018/5/17
3193.303,3174.252,3187.648,3191.102,3182.803,3173.209,3169.53,3171.057,3158.4,3176.000125,399.0052896249964,0.005418488317582113,2018/5/18
3213.84,3195.25,3210.371,3217.929,3212.441,3217.548,3203.008,3246.831,3248.371,3218.9686249999995,348.5220891250008,0.004263163380877719,2018/5/21
3214.349,3217.928,3212.631,3203.024,3237.362,3246.872,3230.445,3228.842,3250.593,3228.462125,439.2644861249945,0.005405099135159231,2018/5/22
3168.964,3203.037,3238.269,3245.213,3230.976,3252.599,3270.494,3281.021,3276.901,3249.8137500000003,7141.733980250017,0.02551299099642662,2018/5/23
3154.65,3172.136,3173.152,3159.166,3162.961,3173.416,3187.648,3191.193,3198.897,3177.3211250000004,683.9712243749988,0.007186573787900388,2018/5/24
3141.303,3159.118,3173.203,3138.856,3114.637,3112.956,3142.687,3143.954,3140.324,3140.7168750000005,358.18771212499735,0.004464270081555305,2018/5/25
3135.082,3135.324,3124.548,3131.851,3117.675,3103.037,3108.774,3133.26,3143.963,3124.8040000000005,278.2064329999999,0.004005876082348077,2018/5/28
3120.46,3127.745,3103.037,3132.863,3140.174,3111.277,3108.777,3136.775,3142.953,3125.4501250000003,236.50532637499967,0.004666739839639019,2018/5/29
3041.443,3133.26,3141.542,3140.562,3111.977,3124.158,3140.53,3157.704,3174.126,3140.482375,10128.89950137497,0.032563284927582016,2018/5/30
3095.473,3051.416,3065.459,3073.108,3090.956,3094.411,3085.89,3112.967,3102.871,3084.63475,477.02351649999827,0.005511677859894102,2018/5/31
3075.137,3094.415,3139.876,3137.423,3123.166,3147.416,3136.775,3111.277,3122.561,3126.613625000001,2915.9677878749903,0.016739620055951945,2018/6/1
3091.19,3085.493,3090.942,3073.108,3067.394,3085.492,3090.23,3090.63,3070.224,3081.689125,174.87515162500054,0.0030735331700736637,2018/6/4
3114.205,3090.224,3073.777,3065.023,3067.352,3070.576,3050.52,3053.097,3066.63,3067.1498750000005,2347.552679124987,0.01510983541545912,2018/6/5
3115.18,3123.168,3131.826,3147.453,3133.267,3141.593,3153.42,3141.574,3157.87,3141.271375,798.5758828750068,0.008375559357725763,2018/6/6
3109.498,3132.486,3132.85,3144.377,3136.775,3132.486,3141.552,3156.95,3165.821,3142.912125,1251.7778888749926,0.010745826175157501,2018/6/7
3067.147,3103.037,3132.872,3144.313,3132.866,3147.453,3157.951,3169.527,3179.076,3145.886875,6698.203966875009,0.025672025175187248,2018/6/8
3052.783,3085.496,3090.941,3094.411,3073.108,3073.376,3063.305,3053.12,3051.943,3073.2124999999996,650.971580500005,0.006760880154272367,2018/6/11
3079.801,3050.52,3045.681,3060.686,3053.077,3054.294,3040.738,3016.705,3030.067,3043.971,1466.5259689999962,0.011633868551896675,2018/6/12
3049.796,3072.539,3067.364,3080.713,3147.416,3133.332,3114.221,3123.137,3137.264,3109.4982499999996,4433.7251485000315,0.01957581753009063,2018/6/13
