date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctchg,isst,MACD,Signal,WMS(5),WMS(10),RSV,K,D,J,RSI(5),RSI(14),PSY(10),PSY(20),OBV,OBV(30),ma_5,ma_10,ma_20
2009-07-03,sh.000931,3162.08,3215.62,3154.09,3215.62,0.0,1920742200.0,18601870000.0,3,0.027066,1,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,
2009-07-06,sh.000931,3223.89,3235.42,3189.47,3235.42,3215.62,2048012800.0,20315760000.0,3,0.028759,1,0.615738,0.0,1.579487179487387,0.3158974358974774,,,,,,,,,,,2048012800.0,,,,
2009-07-07,sh.000931,3227.43,3275.1,3210.7,3248.99,3235.42,2419380800.0,22407900000.0,3,0.033974,1,0.419422,0.0,3.881484403535524,1.0290148294250867,,,,,,,,,,,4467393600.0,,,,
2009-07-08,sh.000931,3230.83,3286.66,3218.6,3275.0,3248.99,2105764600.0,20179160000.0,3,0.02957,1,0.800557,0.0,7.715681836581552,2.36634823085638,,,,,,,,,,,6573158200.0,,,,
2009-07-09,sh.000931,3274.51,3362.82,3272.18,3362.82,3275.0,2698758000.0,26553200000.0,3,0.037897,1,2.681529,0.0,17.63733872188459,5.420546329062022,0.0,,,,,,100.0,,,,9271916200.0,,3267.57,,
2009-07-10,sh.000931,3371.32,3414.35,3370.4,3393.02,3362.82,2388142400.0,24031430000.0,3,0.033535,1,0.898054,0.0,27.61883811952248,9.860204687154114,9.485058697972216,,,,,,100.0,,,,11660058600.0,,3303.05,,
2009-07-13,sh.000931,3387.02,3443.7,3378.07,3411.42,3393.02,2313912800.0,23075250000.0,3,0.032493,1,0.542287,0.0,36.59216285420098,15.206596320563488,13.854077253218774,,,,,,100.0,,,,13973971400.0,,3338.25,,
2009-07-14,sh.000931,3421.51,3469.46,3421.51,3469.46,3411.42,2102584400.0,21294480000.0,3,0.029407,1,1.701345,0.0,47.835512286166704,21.732379513684133,0.0,,,,,,100.0,,,,16076555800.0,,3382.344,,
2009-07-15,sh.000931,3480.69,3503.41,3469.34,3483.05,3469.46,2414787200.0,24418100000.0,3,0.033774,1,0.391706,0.0,57.1833728122233,28.822578173391967,8.80508584526215,,94.1715332646285,94.1715332646285,94.1715332646285,94.17153326462852,100.0,,,,18491343000.0,,3423.954,,
2009-07-16,sh.000931,3496.23,3506.44,3440.36,3450.35,3483.05,2433995000.0,24668390000.0,3,0.034042,1,-0.938831,0.0,61.24698578492007,35.30745969569759,41.23052043516625,15.918830708102783,82.30431902072748,87.05120471828788,89.89933613682412,81.35494188121541,78.61766821421551,,80.0,,16057348000.0,,3441.46,3354.5150000000003,
2009-07-17,sh.000931,3446.49,3462.8,3416.37,3451.49,3450.35,2286344800.0,22589700000.0,3,0.031944,1,0.033037,0.0,63.82369696540991,41.010707149640055,42.80595154631169,17.336025491371494,81.41949009264887,84.38355042193255,87.28659553503337,78.57746019573091,73.60135626059564,,90.0,,18343692800.0,,3453.154,3378.1020000000003,
2009-07-20,sh.000931,3459.44,3516.09,3442.8,3515.44,3451.49,2743322400.0,29485380000.0,3,0.038329,1,1.852822,0.0,70.21657669980641,46.851881059673325,0.6518251103089544,0.2128425947149842,99.781505260681,90.77962397033576,88.73754580815897,94.86378029468928,80.69885491677478,,90.0,,21087015200.0,,3473.958,3406.1040000000003,
2009-07-21,sh.000931,3517.57,3518.68,3418.21,3423.51,3515.44,2542131400.0,27007730000.0,3,0.035518,1,-2.615033,0.0,67.09160695667197,50.89982623907306,93.02121004789332,31.71487603305773,61.39148073022328,79.49791969332574,85.19058033279646,68.11259841438431,38.69952289607011,,80.0,,18544883800.0,,3464.768,3423.556,
2009-07-22,sh.000931,3419.85,3465.25,3419.85,3465.19,3423.51,2088976600.0,21803610000.0,3,0.029068,1,1.217462,0.0,67.20359240627704,54.16057947251386,52.28227934708221,21.69979716024332,63.92635554356631,73.8078594100302,81.03118005575557,59.36121811857947,46.140881590319765,75.01553635507086,80.0,,20633860400.0,,3461.196,3442.575,
