date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctchg,isst,MACD,Signal,WMS(5),WMS(10),RSV,K,D,J,RSI(5),RSI(14),PSY(10),PSY(20),OBV,OBV(30),ma_5,ma_10,ma_20
1997-01-20,sz.000688,15.5,16.0,14.9,15.09,4.94,14982760.0,227560712.12,3,45.502823,1,205.4656,0,0.0,0.0,,,,,,,,,,,0.0,,,,
1997-01-21,sz.000688,14.9,15.16,14.8,14.95,15.09,2726296.0,40853754.38,3,8.279794,1,-0.927769,0,-0.0111680911680913,-0.0022336182336182,,,,,,,,,,,-2726296.0,,,,
1997-01-22,sz.000688,14.96,15.0,14.5,14.98,14.95,2177766.0,32124207.02,3,6.613902,1,0.200667,0,-0.0173975860585553,-0.0052664117986056,,,,,,,,,,,-548530.0,,,,
1997-01-23,sz.000688,14.98,15.35,14.86,15.19,14.98,3171241.0,47850189.14,3,9.631097,1,1.40187,0,-0.0053278446073967,-0.0052786983603639,,,,,,,,,,,2622711.0,,,,
1997-01-24,sz.000688,15.25,15.25,14.85,14.96,15.19,1519065.0,22754825.8,3,4.613419,1,-1.514151,0,-0.0141583566373153,-0.0070546300157541,69.33333333333327,,,,,,39.34426229508203,,,,1103646.0,,15.034,,
1997-01-27,sz.000688,14.94,15.1,14.75,14.99,14.96,2088903.0,31149699.94,3,6.344024,1,0.200533,0,-0.0185223377816985,-0.009348171568943,42.35294117647054,,,,,,42.18750000000002,,,,3192549.0,,15.014,,
1997-01-28,sz.000688,14.95,14.98,14.75,14.81,14.99,891849.0,13238213.4,3,2.708556,1,-1.200796,0,-0.0360893049143999,-0.0146963982380344,63.529411764705806,,,,,,39.70588235294123,,,,2300700.0,,14.986,,
1997-01-29,sz.000688,14.85,15.2,14.78,14.81,14.81,1640351.0,24524983.23,3,4.981766,1,0.0,0,-0.0494413241219096,-0.0216453834148094,89.99999999999991,,,,,,36.92307692307686,,,,2300700.0,,14.951999999999998,,
1997-01-30,sz.000688,14.85,15.19,14.8,14.96,14.81,1800592.0,27009264.26,3,5.46842,1,1.012827,0,-0.0473730619725571,-0.026790919126359,57.99999999999983,,30.666666666666725,30.666666666666725,30.666666666666725,30.66666666666672,30.50847457627124,,,,4101292.0,,14.906,,
1997-01-31,sz.000688,14.9,15.0,14.88,15.0,14.96,1253022.0,18774835.51,3,3.805443,1,0.267379,0,-0.0420218815196733,-0.0298371116050218,44.44444444444436,66.66666666666667,58.82352941176473,47.56078431372553,40.803137254902005,61.07607843137258,54.99999999999992,,50.0,,5354314.0,,14.913999999999998,14.974,
1997-02-17,sz.000688,15.2,15.78,14.95,15.39,15.0,2446377.0,37788700.93,3,7.429676,1,2.600002,0,-0.0062393682700392,-0.0251175629380253,37.86407766990282,30.46874999999992,69.53125000000009,57.967847007224,48.93378924284399,76.03596253598398,76.31578947368425,,60.0,,7800691.0,,14.994,15.004,
1997-02-18,sz.000688,15.29,15.39,13.85,13.85,15.39,2205600.0,32228523.43,3,6.698434,1,-10.0065,0,-0.1009825346041441,-0.0402905572712491,100.0,100.0,0.0,33.88889517345404,42.68437170632817,16.297942107705765,27.35849056603773,,60.0,,5595091.0,,14.802,14.894,
