真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE
3462.08,3409.385,3453.707,3472.712,3418.707,3422.74,3384.712,3357.929,3373.483,32940.12569524998,5.2492594656458476
3487.497,3533.741,3535.047,3522.362,3515.462,3525.362,3536.597,3522.714,3518.684,90344.44903187503,9.067333945363645
3370.652,3383.067,3363.712,3370.314,3383.65,3379.614,3388.608,3370.594,3375.505,27245.001690250014,4.761435309593861
3309.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10418901.468202751,100.0
3262.05,3240.542,3173.174,3222.874,3175.814,3095.505,3110.53,3150.414,3070.592,19694.340050999956,3.611321077064864
3129.85,3141.941,3080.542,3173.554,3199.27,3229.108,3157.312,3128.554,3119.614,12006.273181749992,2.854505940667883
3154.125,3127.629,3110.754,3059.307,3105.814,3104.929,3033.544,3043.53,3013.713,39997.18342349998,5.712737272554263
3184.958,3183.713,3260.505,3273.062,3241.552,3263.552,3274.073,3242.533,3260.53,1293.1028767499924,0.7890352134162519
3199.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10745704.625249749,100.0
3268.558,3213.014,3237.65,3262.174,3245.307,3260.111,3247.333,3205.556,3260.556,2380.312659749989,1.1889610967364452
3289.024,3260.583,3243.073,3230.513,3206.274,3262.612,3220.307,3219.614,3187.947,3233.4740435000012,1.571056491501049
3329.573,3373.174,3440.03,3403.074,3444.612,3404.592,3446.307,3440.53,3383.174,21987.907913250023,4.391955404269169
3292.067,3230.393,3263.911,3241.542,3205.512,3261.605,3285.312,3291.41,3215.592,1639.7013564999916,0.912258742167361
3259.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10782551.0192165,100.0
3273.754,3243.06,3223.19,3213.74,3196.26,3197.762,3250.17,3236.92,3222.582,4990.6734545,1.9783671090293324
3254.528,3228.54,3273.23,3243.57,3246.23,3240.71,3223.76,3226.3,3227.3,3725.9976621249834,1.6372734705777228
