真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE
3487.497,3408.252,3458.04,3503.437,3506.581,3491.547,3473.717,3475.53,3449.292,61422.476203375016,7.107463995430316
3370.652,3533.741,3535.067,3522.194,3516.314,3528.55,3520.508,3501.962,3512.547,87328.17205987498,8.915104552056077
3309.259,3383.06,3372.362,3382.594,3375.712,3378.607,3379.74,3372.167,3393.711,27799.95497812499,4.848746277868534
3262.05,3304.614,3302.53,3296.792,3283.707,3290.46,3293.84,3262.96,3279.362,9238.878216375004,2.5467004778260782
3129.85,3240.542,3207.807,3120.562,3120.563,3115.392,3125.924,3112.707,3128.167,18676.750042625,3.856769834371482
3154.125,3141.941,3080.614,3173.505,3199.405,3000.53,2910.524,2923.53,2843.554,73007.65701649993,6.486295876735887
3184.958,3127.613,3119.543,3086.524,3112.919,3150.552,3160.118,3140.557,3135.53,19558.354606249988,4.0582571522209845
3199.158,3183.713,3260.505,3273.061,3241.554,3263.552,3274.07,3242.462,3262.17,1296.4036826249926,0.7955900122790611
3268.558,3010.043,2894.614,2936.911,2927.594,2830.306,2703.174,2705.814,2769.105,194769.9639923749,13.149648593532776
3289.024,3213.013,3237.194,3260.043,3243.714,3261.06,3228.19,3215.414,3262.59,2361.652574874991,1.2292148954877335
3329.573,3260.583,3273.533,3243.552,3249.224,3233.53,3203.592,3277.305,3217.917,1535.3801686249935,1.0214321488541402
3292.067,3373.174,3440.043,3403.047,3443.05,3405.191,3440.23,3470.074,3454.07,25366.745401750017,4.747480909136592
3259.408,3230.392,3263.993,3241.06,3209.794,3223.962,3273.452,3248.82,3208.86,2360.9720964999988,1.1595833151441783
3273.754,3231.741,3263.43,3243.57,3209.17,3267.17,3213.09,3223.67,3277.32,2950.0730306249966,1.356240762922573
3254.528,3243.06,3230.53,3206.17,3112.562,3119.294,3086.707,3070.112,3103.552,27358.33027087501,4.29111037455182
3256.926,3203.54,3226.31,3279.17,3288.89,3290.36,3296.16,3295.42,3323.94,1176.5119921250032,0.8339207561879293
3289.641,3203.542,3226.312,3277.652,3281.91,3250.492,3243.74,3249.705,3244.86,3041.1592380000043,1.508181295781879
3271.668,3292.43,3217.174,3220.17,3273.712,3279.41,3286.592,3276.86,3277.16,2138.7571365000003,1.0945528226330337
3288.405,3213.352,3222.53,3277.307,3281.714,3260.524,3240.53,3243.83,3223.76,2914.734404000003,1.5189057875732153
3307.165,3290.304,3296.919,3298.707,3343.542,3352.714,3373.891,3379.947,3388.114,4784.826766124996,1.802951463622953
3326.699,3305.062,3291.814,3282.53,3275.174,3278.814,3243.412,3220.537,3273.41,934.4187878750097,0.7108061760893567
