date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctchg,isst,MACD,Signal,WMS(5),WMS(10),RSV,K,D,J,RSI(5),RSI(14),PSY(10),PSY(20),OBV,OBV(30),ma_5,ma_10,ma_20
2008-07-21,sh.000922,2805.1500,2921.11,2786.5,2918.47,0.0000,869140000.0,930000000.0000,3,0.013581,1,0.000000,0,0.0,0.0,,,,,,,,,,,0.0,,,,
2008-07-22,sh.000922,2915.2800,2939.17,2902.48,2921.41,2918.4700,817540000.0,854000000.0000,3,0.012775,1,0.100736,0,0.23452991452995775,0.04690598290599155,,,,,,,,,,,817540000.0,,,,
2008-07-23,sh.000922,2934.3000,2950.86,2885.53,2885.97,2921.4100,885950000.0,941000000.0000,3,0.013844,1,-1.213111,0,-2.4115167896366074,-0.44477857160252826,,,,,,,,,,,-68410000.0,,,,
2008-07-24,sh.000922,2902.7800,2955.52,2889.62,2952.94,2885.9700,982360000.0,1041000000.0000,3,0.015350,1,2.320536,0,0.8851875508557896,-0.1787853471108647,,,,,,,,,,,913950000.0,,,,
2008-07-25,sh.000922,2919.6800,2935.75,2901.24,2909.39,2952.9400,741540000.0,790000000.0000,3,0.011526,1,-1.474803,0,-0.01608611458004816,-0.1462455006047014,27.292628091350203,,,,,,46.95097380792482,,,,172410000.0,,2917.636,,
2008-07-28,sh.000922,2926.8500,2953.2,2924.3,2939.05,2909.3900,785050000.0,815000000.0000,3,0.012073,1,1.019463,0,1.6440109978511828,0.21180579908647548,23.531933133304545,,,,,,55.762768817204375,,,,957460000.0,,2921.752,,
2008-07-29,sh.000922,2906.2400,2906.24,2865.83,2887.27,2939.0500,835940000.0,880000000.0000,3,0.012856,1,-1.761795,0,-1.2046765750055783,-0.07149067573193528,76.09543984836655,,,,,,42.49340369393146,,,,121520000.0,,2914.924,,
2008-07-30,sh.000922,2915.2100,2915.21,2842.87,2865.88,2887.2700,749720000.0,761000000.0000,3,0.011530,1,-0.740843,0,-5.129150581375143,-1.0830226568605767,79.57390146471354,,,,,,45.29177408015008,,,,-628200000.0,,2910.906,,
2008-07-31,sh.000922,2877.4200,2877.42,2783.25,2783.51,2865.8800,668550000.0,650000000.0000,3,0.010282,1,-2.874156,0,-14.71625528059485,-3.8096691816074317,99.84701382759623,,0.15092587217752268,0.15092587217752268,0.15092587217752268,0.15092587217752268,12.966120218579348,,,,-1296750000.0,,2877.02,,
2008-08-01,sh.000922,2765.6100,2797.16,2702.91,2777.88,2783.5100,789580000.0,751000000.0000,3,0.012143,1,-0.202267,0,-22.508929842312682,-7.549521313748483,70.04674577490101,70.3218399904991,29.678160009500896,17.867266354571544,10.780730161613935,32.04033874048677,15.542629565582061,,30.0,,-2086330000.0,,2850.718,2884.177,
2008-08-04,sh.000922,2759.8000,2759.8,2683.91,2687.55,2777.8800,597290000.0,544000000.0000,3,0.009145,1,-3.251755,0,-35.56360159474343,-13.152337369947473,98.42628620838724,98.6598431574683,1.340156842531691,10.038635533078983,10.429211653360536,9.257483292515879,0.0,,30.0,,-2683620000.0,,2800.418,2861.085,
2008-08-05,sh.000922,2683.8500,2695.04,2575.85,2582.16,2687.5500,804640000.0,769000000.0000,3,0.012320,1,-3.921421,0,-53.79351705212093,-21.280573306382166,98.1406176331919,98.33803039481657,1.661969605183434,6.559097378414679,8.821625723767642,2.034040687708753,0.0,,20.0,,-3488260000.0,,2739.3959999999997,2827.16,
2008-08-06,sh.000922,2597.7300,2614.61,2550.19,2590.76,2582.1600,683860000.0,598000000.0000,3,0.010471,1,0.333058,0,-66.77714292838937,-30.37988723078361,87.60199248235182,89.9908716354575,10.066747723381601,7.905636136435155,8.469989910621047,6.77692858806337,2.941981390257368,,30.0,,-2804400000.0,,2684.3720000000003,2797.639,
2008-08-07,sh.000922,2589.2800,2612.05,2562.19,2592.37,2590.7600,555000000.0,508000000.0000,3,0.008498,1,0.062148,0,-76.06007325391738,-39.51592443541036,82.92100255091717,89.53375846753185,10.466241532468143,8.84131600295548,8.605677490225961,9.312593028414518,4.8260540744942375,20.118755268848815,30.0,,-2249400000.0,,2646.1440000000002,2761.582,
2008-08-08,sh.000922,2591.6300,2591.63,2450.83,2455.95,2592.3700,693350000.0,624000000.0000,3,0.010616,1,-5.262372,0,-93.34875002458557,-50.282489553245405,98.34288118587568,98.98083086171549,1.1025453292561889,6.101362714404347,7.719011403983147,2.8660653352467502,2.982328026873091,16.094886230354263,30.0,,-2942750000.0,,2581.758,2716.2380000000003,
2008-08-11,sh.000922,2449.0300,2451.26,2310.3,2326.84,2455.9500,768820000.0,643000000.0000,3,0.011715,1,-5.257023,0,-116.12957940303386,-63.4519075232031,95.70099287830745,97.26570894843861,2.734291051561384,4.933434764104972,6.752785216605896,1.2947338591031237,2.6788759740771013,13.218682338385449,20.0,,-3711570000.0,,2509.616,2655.0170000000003,
2008-08-12,sh.000922,2310.7600,2377.0,2298.09,2360.44,2326.8400,658480000.0,559000000.0000,3,0.009922,1,1.444012,0,-129.97405165790906,-76.7563363501443,80.30140275496022,89.8966165413534,10.762432465088967,6.928325688738846,6.8128614274276735,7.159254211361191,14.162410292881631,17.415458637665736,30.0,,-3053090000.0,,2465.272,2602.334,
2008-08-13,sh.000922,2350.2200,2398.05,2300.95,2376.11,2360.4400,619890000.0,510000000.0000,3,0.009340,1,0.663866,0,-138.08964614069828,-89.0229983082551,75.14970059880241,86.53271883037301,15.633077524195008,9.88111552720991,7.853661865963025,13.936022849703683,16.080402010050165,11.804902596972653,40.0,,-2433200000.0,,2422.342,2553.357,
2008-08-14,sh.000922,2360.3800,2396.96,2345.39,2375.97,2376.1100,435330000.0,382000000.0000,3,0.006559,1,-0.005898,0,-142.88551479655098,-99.79550160591428,73.46869251209387,84.39497465285437,16.86773082670933,12.237226337780738,9.33194043121105,18.047798150920112,15.644249698355225,12.52494028382749,40.0,,-2868530000.0,,2379.062,2512.603,
2008-08-15,sh.000922,2374.7100,2400.0,2342.03,2368.55,2375.9700,446650000.0,375000000.0000,3,0.006730,1,-0.312290,0,-145.60654562610443,-108.95771040995233,53.99882483515049,84.73933854584045,17.75034639123317,14.08920687824085,10.930012811326511,20.407595012069525,26.49779498763047,8.627041452731135,40.0,35.0,-3315180000.0,,2361.582,2471.67,2677.9235
2008-08-18,sh.000922,2376.1000,2378.26,2227.33,2228.15,2368.5500,523760000.0,423000000.0000,3,0.007720,1,-5.927683,0,-157.27907353386172,-118.62198303473421,99.5251056929402,99.82467768489018,0.2117331129932254,9.439490975029223,10.430606132304623,7.457260660478422,24.980986665314603,7.644458153403249,40.0,35.0,-3838940000.0,,2341.844,2425.73,2643.4075000000003
2008-08-19,sh.000922,2199.7800,2267.42,2188.66,2262.47,2228.1500,436510000.0,341000000.0000,3,0.005474,1,1.540294,0,-161.89408458941125,-127.27640334566964,65.07523421974075,82.67167507923467,17.433099506365263,12.113185860257383,10.99339386390048,14.352769852971193,25.25385198282386,11.858257164890432,50.0,35.0,-3402430000.0,,2322.25,2393.761,2610.4605
2008-08-20,sh.000922,2251.5700,2422.51,2223.46,2418.71,2262.4700,1051330000.0,852000000.0000,3,0.013184,1,6.905726,0,-151.2012974153895,-132.0613821596136,1.624973273465972,45.664753536928124,57.08861701863663,27.13931078068195,16.387684886748286,48.64256256854927,56.29209500177241,28.910369068541286,50.0,40.0,-2351100000.0,,2330.7699999999995,2376.5559999999996,2587.0975000000003
2008-08-21,sh.000922,2377.5300,2413.26,2312.2,2318.93,2418.7100,855270000.0,707000000.0000,3,0.010725,1,-4.125340,0,-149.0603240179039,-135.46117053127168,44.29335043831525,67.67253145395442,49.60776846915453,34.64021634681113,22.481138951242226,58.95837113794894,43.490962205587,26.072177095607017,40.0,35.0,-3206370000.0,,2319.362,2349.212,2555.397
2008-08-22,sh.000922,2297.7500,2311.75,2239.3,2273.85,2318.9300,548230000.0,434000000.0000,3,0.006758,1,-1.943993,0,-149.2803554128318,-138.2250075075837,63.570664956168514,67.55902513328257,36.429335043831486,35.237195154967516,26.737477696099216,52.23663007270412,40.04875793367237,27.36326030335529,40.0,35.0,-3754600000.0,,2300.4219999999996,2331.0019999999995,2523.62
2008-08-25,sh.000922,2269.9300,2290.74,2232.31,2254.34,2273.8500,402540000.0,322000000.0000,3,0.004962,1,-0.858016,0,-149.30789732723042,-140.44158547151306,71.91361984177884,71.91361984177884,28.086380158221164,32.85197622274311,28.77702390914559,41.00188084993816,53.68945989350014,30.201715182993127,40.0,30.0,-4157140000.0,,2305.66,2323.7519999999995,2489.3845
2008-08-26,sh.000922,2232.5500,2232.65,2148.0,2167.12,2254.3400,512120000.0,392000000.0000,3,0.006313,1,-3.868980,0,-154.58568204845778,-143.27040478690202,93.03486211795567,93.03486211795567,6.965137882044325,24.219135895423715,27.257042251501346,18.14332318326845,38.310080180467374,26.63372016061419,30.0,30.0,-4669260000.0,,2286.59,2304.42,2453.377
2008-08-27,sh.000922,2160.9100,2191.2,2118.82,2157.4,2167.1200,468550000.0,355000000.0000,3,0.005776,1,-0.448531,0,-157.73442298903774,-146.16320842732918,86.89716071185984,87.29625605057792,12.703743949422082,20.379517230047707,24.963844280664325,11.210863128814466,0.0,26.221532204279328,20.0,30.0,-5137810000.0,,2234.3280000000004,2282.549,2417.9530000000004
2008-08-28,sh.000922,2155.2600,2182.46,2144.64,2173.05,2157.4000,423300000.0,333000000.0000,3,0.005218,1,0.725417,0,-157.1554089340616,-148.36164852867566,71.8913595604623,82.14297474398235,17.857025256017653,19.538517963649493,23.155039535374762,12.305474820198953,8.832825375324589,32.18199682563679,30.0,35.0,-4714510000.0,,2205.152,2262.257,2387.43
2008-08-29,sh.000922,2179.4000,2256.54,2179.4,2233.28,2173.0500,644790000.0,515000000.0000,3,0.007948,1,2.771679,0,-150.1061482478658,-148.7105484725137,33.42252210330369,62.31025058447758,37.689749415522414,25.58973723652367,23.96671392186905,28.83578386583291,39.453023449279954,43.54740820436427,40.0,40.0,-4069720000.0,-2331623000.0,2197.038,2248.73,2360.2
2008-09-01,sh.000922,2217.1100,2220.77,2164.96,2177.14,2233.2800,474920000.0,403000000.0000,3,0.005854,1,-2.513797,0,-147.3510163911842,-148.4386420562478,57.653209410398055,80.7962066581054,19.203793341894595,23.46089958201922,23.798094117087135,22.786510511883385,33.14116002795245,37.739458476027394,40.0,40.0,-4544640000.0,-2483111000.0,2181.598,2243.629,2334.6795
2008-09-02,sh.000922,2162.9600,2190.66,2140.49,2172.64,2177.1400,362740000.0,290000000.0000,3,0.004472,1,-0.206693,0,-143.87219779815814,-147.52535320462988,60.92070868428711,82.27798083572074,18.278766471946643,21.73341926081639,23.109828279809165,18.980601222830842,51.88730853391684,36.18387994839409,30.0,40.0,-4907380000.0,-2673941666.6666665,2182.7019999999998,2234.6459999999997,2314.2035
2008-09-03,sh.000922,2165.1300,2175.86,2123.78,2142.43,2172.6400,474540000.0,395000000.0000,3,0.005850,1,-1.390473,0,-141.91697299965426,-146.40367716363477,85.95209400421838,91.98138839831556,12.237599129217692,18.568020527090866,21.5958324047779,12.512396771716794,45.510705931745875,34.764228490905765,20.0,35.0,-5381920000.0,-2851058666.6666665,2179.7079999999996,2207.018,2291.7870000000003
2008-09-04,sh.000922,2136.8500,2173.51,2127.23,2152.82,2142.4300,410280000.0,345000000.0000,3,0.005058,1,0.484970,0,-137.93898236835184,-144.71073820457818,78.12594154865923,82.37702793759394,19.776640297812982,18.9709044207046,20.720833308869313,15.471046644375171,43.735678454202045,35.98045204642641,30.0,35.0,-4971640000.0,-3047245000.0,2175.6620000000003,2190.407,2269.8095000000003
2008-09-05,sh.000922,2099.9000,2127.47,2082.82,2088.46,2152.8200,467690000.0,357000000.0000,3,0.005764,1,-2.989572,0,-138.38449988093953,-143.44549053985045,95.91156216020306,97.28741823778383,3.2466037301403863,13.72937860137136,18.39030738690957,4.407521030294944,6.274154589372159,39.92644407586357,30.0,35.0,-5439330000.0,-3234303000.0,2146.698,2171.868,2251.4350000000004
2008-09-08,sh.000922,2090.4900,2100.68,2013.85,2018.23,2088.4600,440540000.0,327000000.0000,3,0.005430,1,-3.362764,0,-142.75891388788523,-143.3081752094574,97.52276454951638,98.1952284807779,1.8047715192220974,9.75446293247145,15.511658790804926,-1.7599287841955018,5.782180421837779,33.25425774072352,30.0,35.0,-5879870000.0,-3462214000.0,2114.916,2148.257,2236.0045
2008-09-09,sh.000922,2027.5100,2056.31,2011.1,2042.64,2018.2300,383800000.0,285000000.0000,3,0.004730,1,1.209477,0,-142.6120426524394,-143.1689486980538,80.85700412721526,87.14960886571048,12.850391134289515,10.786447072587212,13.93657589675518,4.486189424251279,17.43486973947911,18.52601978474472,40.0,35.0,-5496070000.0,-3649467000.0,2088.916,2135.809,2220.1144999999997
2008-09-10,sh.000922,2030.7300,2086.08,2013.93,2051.7,2042.6400,472450000.0,356000000.0000,3,0.005823,1,0.443541,0,-140.14902909016791,-142.56496477647664,75.00153931408175,83.45827900912651,16.541720990873493,12.70488171683499,13.526009028969876,11.062627092565219,24.578313253012084,23.630873675277797,50.0,35.0,-5023620000.0,-3795981000.0,2070.77,2125.239,2203.8940000000002
2008-09-11,sh.000922,2051.4100,2064.94,2008.25,2011.46,2051.7000,423550000.0,318000000.0000,3,0.005220,1,-1.961300,0,-139.83220616713288,-142.0184130546079,97.3074987418218,98.70715695356235,1.5104460756634843,8.973390196389182,12.00846414201576,2.903242305136029,16.068170907345092,23.858768206906205,40.0,35.0,-5447170000.0,-3934328333.3333335,2042.4979999999996,2109.08,2185.6685
2008-09-12,sh.000922,2009.8100,2043.87,2009.81,2024.09,2011.4600,409050000.0,288000000.0000,3,0.005006,1,0.627902,0,-136.98293229675346,-141.011316903037,82.86270691333988,92.54658385093173,8.683734444383493,8.876838055263468,10.964586360244171,4.701341445302059,29.443699303825667,26.74195438291683,40.0,40.0,-5038120000.0,-4032721333.3333335,2029.6239999999998,2088.161,2168.4455
2008-09-16,sh.000922,2019.5800,2020.58,1979.91,1997.32,2024.0900,596260000.0,412000000.0000,3,0.007286,1,-1.322571,0,-135.32503473680663,-139.87406046979092,83.60177074503167,91.73902728351133,8.884919622352564,8.879531915122422,10.269567137917274,6.09946146953272,40.7567854301122,30.462097850600642,40.0,40.0,-5634380000.0,-4131080000.0,2025.4419999999998,2070.179,2156.9039999999995
2008-09-17,sh.000922,1992.1700,2016.52,1954.07,1959.53,1997.3200,555070000.0,395000000.0000,3,0.006783,1,-1.892031,0,-135.49853340366508,-138.99895505656576,95.86394970078022,97.53821182199376,2.488151658767786,6.7490696349917085,9.096066761403122,2.05507538216888,17.147600600837777,28.613735111649135,40.0,35.0,-6189450000.0,-4221119666.6666665,2008.8200000000002,2048.868,2141.7570000000005
2008-09-18,sh.000922,1924.7800,1953.86,1833.46,1914.64,1959.5300,866860000.0,606000000.0000,3,0.010593,1,-2.290856,0,-137.67129123777158,-138.73342229280695,64.93001555209952,76.1270401411557,27.611305737900114,13.703153111757892,10.631763266178595,19.845932802916487,7.780926564810201,23.73081223950392,40.0,30.0,-7056310000.0,-4362850000.0,1981.4080000000001,2026.089,2116.5535
2008-09-19,sh.000922,2069.6100,2079.88,2051.15,2079.88,1914.6400,756540000.0,575000000.0000,3,0.009245,1,8.630336,0,-124.62315231876391,-135.91136829799834,0.0,16.186524267881953,92.21615148566734,39.87416455188954,20.379234824207625,78.86402400725336,61.906584992343056,37.14941527326341,40.0,35.0,-6299770000.0,-4497862333.333333,1995.0919999999999,2018.795,2104.6009999999997
2008-09-22,sh.000922,2207.6200,2252.23,2095.72,2163.63,2079.8800,2236920000.0,1812000000.0000,3,0.027329,1,4.026675,0,-106.29913291135017,-129.98892122066871,21.15719846216298,21.15719846216298,78.84280153783702,52.86371417863756,31.20739791406889,96.17634670777488,69.46490347059483,48.91828270373278,50.0,40.0,-4062850000.0,-4535199000.0,2023.0,2026.312,2099.0899999999997
2008-09-23,sh.000922,2098.4400,2125.72,2061.74,2072.69,2163.6300,1197890000.0,988000000.0000,3,0.014507,1,-4.203119,0,-97.98579425413027,-123.58829582736104,42.873176206509534,42.873176206509534,57.126823793490466,54.28475100608138,38.89985051003755,85.05455199816905,58.917204988050464,42.97027753161442,50.0,40.0,-5260740000.0,-4586838000.0,2038.074,2031.7579999999998,2090.0075
2008-09-24,sh.000922,2038.2000,2094.32,2018.08,2094.09,2072.6900,745720000.0,586000000.0000,3,0.009022,1,1.032482,0,-88.64872500127603,-116.60038166214404,37.762972514745535,37.762972514745535,62.237027485254465,56.935510192065365,44.91173788626563,80.98305480366486,66.56245384274533,46.55747044580546,50.0,45.0,-4515020000.0,-4635569000.0,2064.986,2036.9029999999998,2086.356
2008-09-25,sh.000922,2097.7500,2196.08,2093.23,2175.2,2094.0900,1543720000.0,1227000000.0000,3,0.018676,1,3.873275,0,-73.85280208235827,-108.0508657461869,32.89771513986768,18.394345344700003,81.6056546553,65.15889242351423,51.66079000905076,92.15509725244118,79.44580056052796,51.44794389379155,50.0,50.0,-2971300000.0,-4653505666.666667,2117.098,2049.253,2087.246
2008-09-26,sh.000922,2188.1100,2218.44,2161.41,2203.04,2175.2000,1126780000.0,908000000.0000,3,0.013629,1,1.279886,0,-59.19807270619913,-98.28030713818936,21.007900918214833,11.746304654106087,88.25369534589392,72.85716052845004,58.72624727483978,101.11898703567056,70.18751639129293,57.78079587124813,60.0,50.0,-1844520000.0,-4619372000.0,2141.7300000000005,2068.411,2088.7455
2008-10-06,sh.000922,2161.4000,2161.4,2079.89,2080.21,2203.0400,958730000.0,760000000.0000,3,0.011596,1,-5.575481,0,-56.84022977381028,-89.99229166531354,68.99081653024552,41.07744107744108,58.92255892255893,68.21229313978802,61.888262690251636,80.86035403886078,37.87922817621759,53.928254531626315,50.0,45.0,-2803250000.0,-4602307666.666667,2125.046,2074.023,2081.092
2008-10-07,sh.000922,2010.3200,2085.88,1985.77,2053.11,2080.2100,816500000.0,627000000.0000,3,0.009876,1,-1.302746,0,-56.50698839061306,-83.29523101037346,71.05772123608538,47.548773789908516,52.45122621009148,62.95860402244274,62.245043143875755,64.38572577957673,46.507064364207224,50.66132720221327,50.0,45.0,-3619750000.0,-4595001333.333333,2121.13,2079.602,2074.8905
2008-10-08,sh.000922,2006.1600,2032.26,1989.16,2005.1,2053.1100,671610000.0,497000000.0000,3,0.008049,1,-2.338410,0,-59.43180510303,-78.52254582890477,91.69209610177508,59.01330085727252,7.254372138407238,44.390526396059606,56.29353745495124,20.584504278276327,35.501319691094494,47.1945962867532,50.0,45.0,-4291360000.0,-4624632333.333333,2103.332,2084.159,2066.5135
2008-10-09,sh.000922,2039.5200,2044.9,1969.32,1969.52,2005.1000,679430000.0,492000000.0000,3,0.008143,1,-1.774473,0,-63.88433323836489,-75.5949033107968,99.91971740526652,99.92930613976175,0.07069386023825436,29.61724870817688,47.401441100126085,-5.9511360757215215,10.651974288337968,47.46089020196638,50.0,45.0,-4970790000.0,-4711955333.333333,2062.196,2089.647,2057.868
2008-10-10,sh.000922,1900.8500,1903.73,1865.19,1875.45,1969.5200,776160000.0,531000000.0000,3,0.009301,1,-4.776294,0,-74.1489141621928,-75.305705481076,96.53624118024375,97.34911120297645,2.9044585987261122,20.712985267663107,38.505289085339314,-14.871622367689305,0.0,41.80884362738615,40.0,40.0,-5746950000.0,-4796641333.333333,1996.6779999999999,2069.204,2043.9995
2008-10-13,sh.000922,1852.2100,1912.23,1800.03,1911.66,1875.4500,811680000.0,545000000.0000,3,0.009726,1,1.930741,0,-78.45741586419854,-75.93604755770052,60.94804967640369,73.32042733204271,26.679572667957288,22.701847744955103,33.23747527732814,1.630592680209034,15.026766817446173,45.32811204677343,40.0,45.0,-4935270000.0,-4835997000.0,1962.968,2044.007,2035.1594999999998
2008-10-14,sh.000922,1965.5700,1973.33,1867.38,1867.38,1911.6600,994920000.0,693000000.0000,3,0.011922,1,-2.316313,0,-84.47122869780151,-77.64308378572072,72.49560991546531,83.9033483903348,16.09665160966519,20.500115692089125,28.99168873393286,3.516969608401652,14.026728646135965,45.00947738965612,40.0,45.0,-5930190000.0,-4895098666.666667,1925.8220000000001,2023.476,2027.6170000000002
2008-10-15,sh.000922,1848.9900,1852.91,1818.11,1839.04,1867.3800,683010000.0,426000000.0000,3,0.008185,1,-1.517632,0,-90.48101107515095,-80.21066924360677,84.06909788867564,90.6766090676609,9.32339093233909,16.77454076340806,24.919306067511013,0.4850101552021542,15.18366320026837,45.8310356236903,30.0,40.0,-6613200000.0,-4959896666.666667,1892.61,1997.971,2017.4370000000004
2008-10-16,sh.000922,1774.7200,1790.93,1750.33,1750.46,1839.0400,792520000.0,472000000.0000,3,0.009497,1,-4.816648,0,-101.22461822463947,-84.41345903981332,99.9417040358744,99.97222874965283,0.03162478410005816,11.193568761552596,20.34406029168272,-7.107414298707653,12.422807739810636,30.156378005879233,20.0,35.0,-7405720000.0,-5035493666.666667,1848.798,1955.497,2002.375
2008-10-17,sh.000922,1760.0700,1781.71,1744.08,1774.74,1750.4600,584920000.0,354000000.0000,3,0.007009,1,1.387066,0,-106.55155125372994,-88.84107748259665,86.62595419847325,92.65311990798426,8.970157987126994,10.452431835969165,17.04685080299746,-2.7364060980874285,27.285849609815514,24.766082250801347,20.0,40.0,-6820800000.0,-5105703333.333333,1828.6560000000002,1912.667,1990.539
2008-10-20,sh.000922,1772.6500,1831.36,1753.21,1828.09,1774.7400,689320000.0,433000000.0000,3,0.008260,1,3.006073,0,-105.25497113402912,-92.12385621288314,63.35441657579062,75.42129900526625,27.926999534605397,16.277287739574703,16.790329781677737,15.251203655368634,32.50429175564204,33.314687986029625,30.0,40.0,-6131480000.0,-5174428666.666667,1811.9420000000002,1887.455,1980.7390000000003
