date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctchg,isst,MACD,Signal,WMS(5),WMS(10),RSV,K,D,J,RSI(5),RSI(14),PSY(10),PSY(20),OBV,OBV(30),ma_5,ma_10,ma_20
1997-01-20,sz.000688,15.5000,16.0,14.9,15.09,4.9400,14982760.0,227560712.1200,3,45.502823,1,205.465600,0,0.0,0.0,,,,,,,,,,,0.0,,,,
1997-01-21,sz.000688,14.9000,15.16,14.8,14.95,15.0900,2726296.0,40853754.3800,3,8.279794,1,-0.927769,0,-0.011168091168091365,-0.0022336182336182733,,,,,,,,,,,-2726296.0,,,,
1997-01-22,sz.000688,14.9600,15.0,14.5,14.98,14.9500,2177766.0,32124207.0200,3,6.613902,1,0.200667,0,-0.017397586058555348,-0.005266411798605689,,,,,,,,,,,-548530.0,,,,
1997-01-23,sz.000688,14.9800,15.35,14.86,15.19,14.9800,3171241.0,47850189.1400,3,9.631097,1,1.401870,0,-0.00532784460739677,-0.0052786983603639055,,,,,,,,,,,2622711.0,,,,
1997-01-24,sz.000688,15.2500,15.25,14.85,14.96,15.1900,1519065.0,22754825.8000,3,4.613419,1,-1.514151,0,-0.01415835663731535,-0.007054630015754195,69.33333333333327,,,,,,39.34426229508203,,,,1103646.0,,15.034,,
1997-01-27,sz.000688,14.9400,15.1,14.75,14.99,14.9600,2088903.0,31149699.9400,3,6.344024,1,0.200533,0,-0.01852233778169854,-0.009348171568943065,42.35294117647054,,,,,,42.18750000000002,,,,3192549.0,,15.014,,
1997-01-28,sz.000688,14.9500,14.98,14.75,14.81,14.9900,891849.0,13238213.4000,3,2.708556,1,-1.200796,0,-0.03608930491439999,-0.014696398238034451,63.529411764705806,,,,,,39.70588235294123,,,,2300700.0,,14.986,,
1997-01-29,sz.000688,14.8500,15.2,14.78,14.81,14.8100,1640351.0,24524983.2300,3,4.981766,1,0.000000,0,-0.0494413241219096,-0.021645383414809483,89.99999999999991,,,,,,36.92307692307686,,,,2300700.0,,14.951999999999998,,
1997-01-30,sz.000688,14.8500,15.19,14.8,14.96,14.8100,1800592.0,27009264.2600,3,5.468420,1,1.012827,0,-0.047373061972557196,-0.026790919126359027,57.99999999999983,,30.666666666666725,30.666666666666725,30.666666666666725,30.66666666666672,30.50847457627124,,,,4101292.0,,14.906,,
1997-01-31,sz.000688,14.9000,15.0,14.88,15.0,14.9600,1253022.0,18774835.5100,3,3.805443,1,0.267379,0,-0.04202188151967334,-0.029837111605021893,44.44444444444436,66.66666666666667,58.82352941176473,47.56078431372553,40.803137254902005,61.07607843137258,54.999999999999915,,50.0,,5354314.0,,14.913999999999998,14.974,
1997-02-17,sz.000688,15.2000,15.78,14.95,15.39,15.0000,2446377.0,37788700.9300,3,7.429676,1,2.600002,0,-0.006239368270039236,-0.025117562938025362,37.86407766990282,30.468749999999922,69.53125000000009,57.967847007223995,48.93378924284399,76.03596253598398,76.31578947368425,,60.0,,7800691.0,,14.994,15.004,
1997-02-18,sz.000688,15.2900,15.39,13.85,13.85,15.3900,2205600.0,32228523.4300,3,6.698434,1,-10.006500,0,-0.10098253460414419,-0.04029055727124913,100.0,100.0,0.0,33.88889517345404,42.68437170632817,16.297942107705765,27.35849056603773,,60.0,,5595091.0,,14.802000000000001,14.894,
1997-02-19,sz.000688,14.0000,14.67,14.0,14.54,13.8500,1237009.0,17686108.9800,3,3.756811,1,4.981946,0,-0.11901797791885116,-0.056036041400769544,64.24870466321246,64.24870466321246,35.75129533678754,34.6038449991887,39.58236856282913,24.646797871907836,45.195729537366525,,60.0,,6832100.0,,14.748,14.85,
1997-02-20,sz.000688,13.0900,14.2,13.09,14.06,14.5400,2062409.0,28254989.5600,3,6.263561,1,-3.301235,0,-0.17008257905807866,-0.07884534893223137,63.94052044609662,63.94052044609662,36.05947955390337,35.13575356579873,37.957515263162385,29.492230171071427,35.66878980891718,37.469586374695865,50.0,,4769691.0,,14.568000000000001,14.737,
1997-02-21,sz.000688,14.0000,14.28,13.95,14.22,14.0600,1017871.0,14366396.7300,3,3.091287,1,1.137979,0,-0.19538866167077096,-0.1021540114799393,57.99256505576205,57.99256505576205,42.00743494423796,37.568709235969784,37.819856402636205,37.06641490263695,38.036809815950924,39.81264637002342,60.0,,5787562.0,,14.412,14.663000000000002,
1997-02-24,sz.000688,14.2000,14.36,14.07,14.08,14.2200,754100.0,10698846.3100,3,2.290211,1,-0.984531,0,-0.224156804325494,-0.12655457004905024,56.956521739130444,63.197026022304826,36.80297397769518,37.30310051117255,37.64061054464556,36.62808044422654,28.239202657807297,39.81264637002342,50.0,,5033462.0,,14.15,14.572,
1997-02-25,sz.000688,14.0000,14.7,14.0,14.34,14.0800,870231.0,12526964.0300,3,2.642902,1,1.846593,0,-0.22340071319371724,-0.14592379867798366,22.360248447204942,53.53159851301114,46.46840148698885,40.43979341724583,38.59859076618489,44.12219871936772,64.16184971098268,42.88888888888887,60.0,,5903693.0,,14.248,14.525,
1997-02-26,sz.000688,14.3500,14.55,14.29,14.48,14.3400,755248.0,10865150.2400,3,2.293697,1,0.976286,0,-0.2090943658603468,-0.1585579121144563,13.66459627329186,48.32713754646837,51.67286245353163,44.250228537301204,40.51571590619148,51.719253799520644,47.45762711864412,41.98645598194131,70.0,,6658941.0,,14.236,14.492,
1997-02-27,sz.000688,14.5100,14.96,14.5,14.62,14.4800,1257620.0,18617163.9800,3,3.819407,1,0.966853,0,-0.18433475623037943,-0.16371328093764093,33.66336633663377,43.12267657992567,56.87732342007434,48.50849001071265,43.21113574352847,59.103198545081,83.33333333333326,46.082949308755744,70.0,,7916561.0,,14.347999999999999,14.457999999999998,
1997-02-28,sz.000688,14.6100,14.65,14.2,14.63,14.6200,832272.0,12071877.3200,3,2.527620,1,0.068401,0,-0.1620377998965843,-0.1633781847294296,34.37499999999998,42.750929368029695,66.95652173913045,54.70559717318509,47.07238285666955,69.97202580621618,79.71014492753619,45.83333333333334,70.0,60.0,8748833.0,,14.430000000000001,14.420999999999998,14.6975
1997-03-03,sz.000688,14.7000,15.05,14.7,15.02,14.6300,1333602.0,19948881.6100,3,4.050165,1,2.665758,0,-0.111610978838522,-0.1530247435512481,2.8571428571429633,16.086956521739168,98.46938775510198,69.3688706547856,54.54293085801281,99.02075024833115,100.0,52.31788079470197,70.0,65.0,10082435.0,,14.618,14.384,14.694000000000003
1997-03-04,sz.000688,15.0200,15.58,14.2,15.36,15.0200,2893781.0,43709619.3900,3,8.788448,1,2.263643,0,-0.04370835859259259,-0.131161466559517,15.942028985507283,8.835341365461872,91.16465863453813,76.65910592369258,61.94032890698074,106.09665995711626,100.0,55.646817248459946,80.0,70.0,12976216.0,,14.822,14.535000000000002,14.714499999999997
1997-03-05,sz.000688,15.3000,15.6,14.71,14.79,15.3600,1597344.0,24273405.1100,3,4.851153,1,-3.710936,0,-0.035480284512816596,-0.11202523015017692,57.85714285714288,32.27091633466138,50.90909090909089,68.05612130861066,63.98359248995038,76.20117894593119,60.68965517241376,48.39319470699431,70.0,65.0,11378872.0,,14.884,14.559999999999999,14.705000000000002
1997-03-06,sz.000688,14.7500,15.55,14.7,15.37,14.7900,3051443.0,46776515.6700,3,9.267269,1,3.921568,0,0.01763835226777921,-0.0860925136665857,16.428571428571455,13.939393939393963,85.62499999999997,73.92134364803725,67.30122710510888,87.16157673389401,69.84126984126983,53.17324185248712,80.0,65.0,14430315.0,,15.034,14.690999999999999,14.714000000000002
1997-03-07,sz.000688,15.6500,15.89,15.15,15.3,15.3700,2156081.0,33489425.8600,3,6.548044,1,-0.455431,0,0.05347046538912714,-0.05817991785544314,34.911242603550264,31.2169312169312,68.7830687830688,72.206845213709,68.93809449496948,78.74434665118804,67.1794871794872,49.18330308529946,70.0,65.0,12274234.0,,15.168000000000001,14.798999999999998,14.731
1997-03-10,sz.000688,15.2700,15.55,15.2,15.34,15.3000,1167503.0,17892039.5100,3,3.545721,1,0.261438,0,0.08412559144842824,-0.029718815994668867,32.54437869822487,29.10052910052913,67.45562130177512,70.62203156223873,69.49978691399481,72.86652085872657,60.00000000000002,68.57855361596012,80.0,65.0,13441737.0,,15.232,14.925,14.748499999999998
1997-03-11,sz.000688,15.4800,15.88,15.35,15.8,15.3400,3075722.0,48276603.0900,3,9.341005,1,2.998697,0,0.14387960085160145,0.005000867374585197,7.563025210084014,5.325443786982236,94.67455621301777,78.64315805309485,72.54895275102845,90.83156865722765,62.79069767441865,66.66666666666669,80.0,70.0,16517459.0,,15.320000000000002,15.071000000000002,14.797999999999998
1997-03-12,sz.000688,15.9000,16.1,15.58,15.87,15.8000,2178290.0,34522622.9500,3,6.615493,1,0.443036,0,0.1946398121976589,0.04292865633919994,16.428571428571562,12.10526315789484,87.89473684210516,81.72794533337625,75.6095373506493,93.96476129883015,94.26229508196732,76.8545994065282,80.0,75.0,18695749.0,,15.535999999999998,15.210000000000003,14.850999999999999
